year,state,value
2011,Alabama,72
2011,Alaska,69
2011,Arizona,76
2011,Arkansas,84
2011,California,74
2011,Colorado,75
2011,Connecticut,82
2011,Delaware,78
2011,Florida,71
2011,Georgia,67
2011,Hawaiʻi,80
2011,Idaho,80
2011,Illinois,85
2011,Indiana,87
2011,Iowa,88
2011,Kansas,85
2011,Kentucky,80
2011,Louisiana,72
2011,Maine,86
2011,Maryland,83
2011,Massachusetts,83
2011,Michigan,76
2011,Minnesota,77
2011,Mississippi,75
2011,Missouri,85
2011,Montana,83
2011,Nebraska,87
2011,Nevada,62
2011,New Hampshire,86
2011,New Jersey,87
2011,New Mexico,63
2011,New York,74
2011,North Carolina,80
2011,North Dakota,87
2011,Ohio,80
2011,Oklahoma,81
2011,Oregon,67
2011,Pennsylvania,85
2011,Rhode Island,77
2011,South Carolina,72
2011,South Dakota,82
2011,Tennessee,87
2011,Texas,88
2011,Utah,84
2011,Vermont,88
2011,Virginia,83
2011,Washington,76
2011,West Virginia,79
2011,Wisconsin,88
2011,Wyoming,80
2012,Alabama,75
2012,Alaska,70
2012,Arizona,76
2012,Arkansas,84
2012,California,79
2012,Colorado,75
2012,Connecticut,85
2012,Delaware,80
2012,Florida,75
2012,Georgia,70
2012,Hawaiʻi,81
2012,Illinois,82
2012,Indiana,86
2012,Iowa,89
2012,Kansas,85
2012,Louisiana,72
2012,Maine,85
2012,Maryland,84
2012,Massachusetts,85
2012,Michigan,76
2012,Minnesota,78
2012,Mississippi,75
2012,Missouri,84
2012,Montana,84
2012,Nebraska,88
2012,Nevada,63
2012,New Hampshire,86
2012,New Jersey,86
2012,New Mexico,70
2012,New York,77
2012,North Carolina,80
2012,North Dakota,87
2012,Ohio,81
2012,Oregon,68
2012,Pennsylvania,84
2012,Rhode Island,77
2012,South Carolina,75
2012,South Dakota,83
2012,Tennessee,87
2012,Texas,88
2012,Utah,80
2012,Vermont,88
2012,Virginia,83
2012,Washington,77
2012,West Virginia,79
2012,Wisconsin,88
2012,Wyoming,79
2013,Alabama,80
2013,Alaska,71.8
2013,Arizona,75.1
2013,Arkansas,84.9
2013,California,80.4
2013,Colorado,76.9
2013,Connecticut,85.5
2013,Delaware,80.4
2013,Florida,75.6
2013,Georgia,71.7
2013,Hawaiʻi,82.4
2013,Illinois,83.2
2013,Indiana,87
2013,Iowa,89.7
2013,Kansas,85.7
2013,Kentucky,86.1
2013,Louisiana,73.5
2013,Maine,86.4
2013,Maryland,85
2013,Massachusetts,85
2013,Michigan,77
2013,Minnesota,79.8
2013,Mississippi,75.5
2013,Missouri,85.7
2013,Montana,84.4
2013,Nebraska,88.5
2013,Nevada,70.7
2013,New Hampshire,87.3
2013,New Jersey,87.5
2013,New Mexico,70.3
2013,New York,76.8
2013,North Carolina,82.5
2013,North Dakota,87.5
2013,Ohio,82.2
2013,Oklahoma,84.8
2013,Oregon,68.7
2013,Pennsylvania,85.5
2013,Rhode Island,79.7
2013,South Carolina,77.6
2013,South Dakota,82.7
2013,Tennessee,86.3
2013,Texas,88
2013,Utah,83
2013,Vermont,86.6
2013,Virginia,84.5
2013,Washington,76.4
2013,West Virginia,81.4
2013,Wisconsin,88
2013,Wyoming,77
2014,Alabama,86.3
2014,Alaska,71.1
2014,Arizona,75.7
2014,Arkansas,86.9
2014,California,81
2014,Colorado,77.3
2014,Connecticut,87
2014,Delaware,87
2014,Florida,76.1
2014,Georgia,72.5
2014,Hawaiʻi,81.8
2014,Idaho,77.3
2014,Illinois,86
2014,Indiana,87.9
2014,Iowa,90.5
2014,Kansas,85.7
2014,Kentucky,87.5
2014,Louisiana,74.6
2014,Maine,86.5
2014,Maryland,86.4
2014,Massachusetts,86.1
2014,Michigan,78.6
2014,Minnesota,81.2
2014,Mississippi,77.6
2014,Missouri,87.3
2014,Montana,85.4
2014,Nebraska,89.7
2014,Nevada,70
2014,New Hampshire,88.1
2014,New Jersey,88.6
2014,New Mexico,68.5
2014,New York,77.8
2014,North Carolina,83.9
2014,North Dakota,87.2
2014,Ohio,81.8
2014,Oklahoma,82.7
2014,Oregon,72
2014,Pennsylvania,85.3
2014,Rhode Island,80.8
2014,South Carolina,80.1
2014,South Dakota,82.7
2014,Tennessee,87.2
2014,Texas,88.3
2014,Utah,83.9
2014,Vermont,87.8
2014,Virginia,85.3
2014,Washington,78.2
2014,West Virginia,84.5
2014,Wisconsin,88.6
2014,Wyoming,78.6
2015,Alabama,89.3
2015,Alaska,75.6
2015,Arizona,77.4
2015,Arkansas,84.9
2015,California,82
2015,Colorado,77.3
2015,Connecticut,87.2
2015,Delaware,85.6
2015,Florida,77.9
2015,Georgia,78.8
2015,Hawaiʻi,81.6
2015,Idaho,78.9
2015,Illinois,85.6
2015,Indiana,87.1
2015,Iowa,90.8
2015,Kansas,85.7
2015,Kentucky,88
2015,Louisiana,77.5
2015,Maine,87.5
2015,Maryland,87
2015,Massachusetts,87.3
2015,Michigan,79.8
2015,Minnesota,81.9
2015,Mississippi,80.8
2015,Missouri,87.8
2015,Montana,86
2015,Nebraska,88.9
2015,Nevada,71.3
2015,New Hampshire,88.1
2015,New Jersey,89.7
2015,New Mexico,68.6
2015,New York,79.2
2015,North Carolina,85.6
2015,North Dakota,86.6
2015,Ohio,80.7
2015,Oklahoma,82.5
2015,Oregon,73.8
2015,Pennsylvania,84.8
2015,Rhode Island,83.2
2015,South Carolina,80.3
2015,South Dakota,83.9
2015,Tennessee,87.9
2015,Texas,89
2015,Utah,84.8
2015,Vermont,87.7
2015,Virginia,85.7
2015,Washington,78.2
2015,West Virginia,86.5
2015,Wisconsin,88.4
2015,Wyoming,79.3
2016,Alabama,87.1
2016,Alaska,76.1
2016,Arizona,79.5
2016,Arkansas,87
2016,California,83
2016,Colorado,78.9
2016,Connecticut,87.4
2016,Delaware,85.5
2016,Florida,80.7
2016,Georgia,79.4
2016,Hawaiʻi,82.7
2016,Idaho,79.7
2016,Illinois,85.5
2016,Indiana,86.8
2016,Iowa,91.3
2016,Kansas,85.7
2016,Kentucky,88.6
2016,Louisiana,78.6
2016,Maine,87
2016,Maryland,87.6
2016,Massachusetts,87.5
2016,Michigan,79.7
2016,Minnesota,82.2
2016,Mississippi,82.3
2016,Missouri,89
2016,Montana,85.6
2016,Nebraska,89.3
2016,Nevada,73.6
2016,New Hampshire,88.2
2016,New Jersey,90.1
2016,New Mexico,71
2016,New York,80.4
2016,North Carolina,85.9
2016,North Dakota,87.5
2016,Ohio,83.5
2016,Oklahoma,81.6
2016,Oregon,74.8
2016,Pennsylvania,86.1
2016,Rhode Island,82.8
2016,South Carolina,82.6
2016,South Dakota,83.9
2016,Tennessee,88.5
2016,Texas,89.1
2016,Utah,85.2
2016,Vermont,87.7
2016,Virginia,86.7
2016,Washington,79.7
2016,West Virginia,89.8
2016,Wisconsin,88.2
2016,Wyoming,80
2017,Alabama,89.3
2017,Alaska,78.2
2017,Arizona,78
2017,Arkansas,88
2017,California,82.7
2017,Colorado,79.1
2017,Connecticut,87.9
2017,Delaware,86.9
2017,Florida,82.3
2017,Georgia,80.6
2017,Hawaiʻi,82.7
2017,Idaho,79.7
2017,Illinois,87
2017,Indiana,83.8
2017,Iowa,91
2017,Kansas,86.5
2017,Kentucky,89.7
2017,Louisiana,78.1
2017,Maine,86.9
2017,Maryland,87.7
2017,Massachusetts,88.3
2017,Michigan,80.2
2017,Minnesota,82.7
2017,Mississippi,83
2017,Missouri,88.3
2017,Montana,85.8
2017,Nebraska,89.1
2017,Nevada,80.9
2017,New Hampshire,88.9
2017,New Jersey,90.5
2017,New Mexico,71.1
2017,New York,81.8
2017,North Carolina,86.6
2017,North Dakota,87.2
2017,Ohio,84.2
2017,Oklahoma,82.6
2017,Oregon,76.7
2017,Pennsylvania,86.6
2017,Rhode Island,84.1
2017,South Carolina,83.6
2017,South Dakota,83.7
2017,Tennessee,89.8
2017,Texas,89.7
2017,Utah,86
2017,Vermont,89.1
2017,Virginia,86.9
2017,Washington,79.4
2017,West Virginia,89.4
2017,Wisconsin,88.6
2017,Wyoming,86.2
2018,Alabama,90
2018,Alaska,78.5
2018,Arizona,78.7
2018,Arkansas,89.2
2018,California,83
2018,Colorado,80.8
2018,Connecticut,88.4
2018,Delaware,86.9
2018,Florida,86.3
2018,Georgia,81.6
2018,Hawaiʻi,84.5
2018,Idaho,80.7
2018,Illinois,86.5
2018,Indiana,88.1
2018,Iowa,91.4
2018,Kansas,87.2
2018,Kentucky,90.3
2018,Louisiana,81.4
2018,Maine,86.7
2018,Maryland,87.1
2018,Massachusetts,87.8
2018,Michigan,80.6
2018,Minnesota,83.2
2018,Mississippi,84
2018,Missouri,89.2
2018,Montana,86.4
2018,Nebraska,88.7
2018,Nevada,83.2
2018,New Hampshire,88.8
2018,New Jersey,90.9
2018,New Mexico,73.9
2018,New York,82.3
2018,North Carolina,86.3
2018,North Dakota,88.1
2018,Ohio,82.1
2018,Oklahoma,81.8
2018,Oregon,78.7
2018,Pennsylvania,85.9
2018,Rhode Island,84
2018,South Carolina,81
2018,South Dakota,84.1
2018,Tennessee,90
2018,Texas,90
2018,Utah,87
2018,Vermont,85.1
2018,Virginia,87.5
2018,Washington,86.7
2018,West Virginia,90.2
2018,Wisconsin,89.7
2018,Wyoming,81.7
2019,Alabama,91.7
2019,Alaska,80.4
2019,Arizona,77.8
2019,Arkansas,87.6
2019,California,84.5
2019,Colorado,81.1
2019,Connecticut,88.5
2019,Delaware,89
2019,Florida,87.2
2019,Georgia,82
2019,Hawaiʻi,85.2
2019,Idaho,80.8
2019,Illinois,86.2
2019,Indiana,87.2
2019,Iowa,91.6
