year,county,value
2013,Hawaiʻi,0.2566
2013,Honolulu,0.3337
2013,Kauaʻi,0.2481
2013,Maui,0.2744
2014,Hawaiʻi,0.2856
2014,Honolulu,0.3261
2014,Kauaʻi,0.2959
2014,Maui,0.2523
2015,Hawaiʻi,0.287
2015,Honolulu,0.3322
2015,Kauaʻi,0.275
2015,Maui,0.2533
2016,Hawaiʻi,0.2759
2016,Honolulu,0.3437
2016,Kauaʻi,0.2793
2016,Maui,0.2472
2017,Hawaiʻi,0.3073
2017,Honolulu,0.3474
2017,Kauaʻi,0.2879
2017,Maui,0.2698
2018,Hawaiʻi,0.2962
2018,Honolulu,0.3519
2018,Kauaʻi,0.3138
2018,Maui,0.2946
2019,Hawaiʻi,0.2999
2019,Honolulu,0.3584
2019,Kauaʻi,0.2857
2019,Maui,0.2769
2021,Hawaiʻi,0.3074
2021,Honolulu,0.3709
2021,Kauaʻi,0.3623
2021,Maui,0.2998
2022,Hawaiʻi,0.3212
2022,Honolulu,0.3769
2022,Kauaʻi,0.2925
2022,Maui,0.2902
2023,Hawaiʻi,0.3166
2023,Honolulu,0.3961
2023,Kauaʻi,0.3065
2023,Maui,0.3119
2024,Hawaiʻi,0.3199
2024,Honolulu,0.4013
2024,Maui,0.3547
