year,state,value
2008,Alabama,0.2199
2008,Alaska,0.2731
2008,Arizona,0.251
2008,Arkansas,0.1879
2008,California,0.2959
2008,Colorado,0.3559
2008,Connecticut,0.3561
2008,Delaware,0.275
2008,Florida,0.2582
2008,Georgia,0.275
2008,Hawaiʻi,0.2911
2008,Idaho,0.24
2008,Illinois,0.2988
2008,Indiana,0.2289
2008,Iowa,0.2426
2008,Kansas,0.2961
2008,Kentucky,0.1968
2008,Louisiana,0.2027
2008,Maine,0.2536
2008,Maryland,0.3518
2008,Massachusetts,0.3809
2008,Michigan,0.2475
2008,Minnesota,0.3152
2008,Mississippi,0.1939
2008,Missouri,0.2501
2008,Montana,0.2712
2008,Nebraska,0.2714
2008,Nevada,0.2186
2008,New Hampshire,0.3332
2008,New Jersey,0.344
2008,New Mexico,0.2472
2008,New York,0.3192
2008,North Carolina,0.2606
2008,North Dakota,0.2689
2008,Ohio,0.241
2008,Oklahoma,0.2217
2008,Oregon,0.281
2008,Pennsylvania,0.2626
2008,Rhode Island,0.3004
2008,South Carolina,0.2366
2008,South Dakota,0.2506
2008,Tennessee,0.2286
2008,Texas,0.2534
2008,Utah,0.2906
2008,Vermont,0.3212
2008,Virginia,0.3369
2008,Washington,0.307
2008,West Virginia,0.1709
2008,Wisconsin,0.2569
2008,Wyoming,0.2363
2009,Alabama,0.2203
2009,Alaska,0.2656
2009,Arizona,0.2556
2009,Arkansas,0.1885
2009,California,0.299
2009,Colorado,0.3588
2009,Connecticut,0.3559
2009,Delaware,0.2875
2009,Florida,0.2526
2009,Georgia,0.2754
2009,Hawaiʻi,0.2957
2009,Idaho,0.2389
2009,Illinois,0.3059
2009,Indiana,0.2252
2009,Iowa,0.2509
2009,Kansas,0.2946
2009,Kentucky,0.2098
2009,Louisiana,0.2141
2009,Maine,0.2695
2009,Maryland,0.3569
2009,Massachusetts,0.3823
2009,Michigan,0.2459
2009,Minnesota,0.315
2009,Mississippi,0.196
2009,Missouri,0.2522
2009,Montana,0.2738
2009,Nebraska,0.2735
2009,Nevada,0.2178
2009,New Hampshire,0.32
2009,New Jersey,0.345
2009,New Mexico,0.2534
2009,New York,0.324
2009,North Carolina,0.2654
2009,North Dakota,0.2576
2009,Ohio,0.2412
2009,Oklahoma,0.2273
2009,Oregon,0.2917
2009,Pennsylvania,0.2638
2009,Rhode Island,0.3046
2009,South Carolina,0.2433
2009,South Dakota,0.2511
2009,Tennessee,0.23
2009,Texas,0.255
2009,Utah,0.2849
2009,Vermont,0.3305
2009,Virginia,0.3399
2009,Washington,0.3104
2009,West Virginia,0.1727
2009,Wisconsin,0.2566
2009,Wyoming,0.2377
2010,Alabama,0.2191
2010,Alaska,0.2792
2010,Arizona,0.259
2010,Arkansas,0.1949
2010,California,0.3009
2010,Colorado,0.3639
2010,Connecticut,0.3554
2010,Delaware,0.2781
2010,Florida,0.2578
2010,Georgia,0.2729
2010,Hawaiʻi,0.2951
2010,Idaho,0.2439
2010,Illinois,0.3076
2010,Indiana,0.2268
2010,Iowa,0.2494
2010,Kansas,0.2977
2010,Kentucky,0.2054
2010,Louisiana,0.2142
2010,Maine,0.2678
2010,Maryland,0.3606
2010,Massachusetts,0.39
2010,Michigan,0.2519
2010,Minnesota,0.3183
2010,Mississippi,0.1951
2010,Missouri,0.2559
2010,Montana,0.2881
2010,Nebraska,0.2863
2010,Nevada,0.2169
2010,New Hampshire,0.3277
2010,New Jersey,0.3539
2010,New Mexico,0.2498
2010,New York,0.3254
2010,North Carolina,0.2645
2010,North Dakota,0.2761
2010,Ohio,0.2462
2010,Oklahoma,0.2289
2010,Oregon,0.2875
2010,Pennsylvania,0.2708
2010,Rhode Island,0.3022
2010,South Carolina,0.2454
2010,South Dakota,0.2626
2010,Tennessee,0.2311
2010,Texas,0.2594
2010,Utah,0.2935
2010,Vermont,0.336
2010,Virginia,0.3424
2010,Washington,0.3106
2010,West Virginia,0.1752
2010,Wisconsin,0.2635
2010,Wyoming,0.2412
2011,Alabama,0.2225
2011,Alaska,0.2637
2011,Arizona,0.2658
2011,Arkansas,0.2032
2011,California,0.303
2011,Colorado,0.367
2011,Connecticut,0.3617
2011,Delaware,0.2884
2011,Florida,0.2585
2011,Georgia,0.2756
2011,Hawaiʻi,0.2909
2011,Idaho,0.2525
2011,Illinois,0.3103
2011,Indiana,0.2301
2011,Iowa,0.258
2011,Kansas,0.3013
2011,Kentucky,0.2108
2011,Louisiana,0.2112
2011,Maine,0.2839
2011,Maryland,0.3689
2011,Massachusetts,0.3915
2011,Michigan,0.2563
2011,Minnesota,0.3238
2011,Mississippi,0.1985
2011,Missouri,0.2607
2011,Montana,0.2821
2011,Nebraska,0.2793
2011,Nevada,0.2247
2011,New Hampshire,0.334
2011,New Jersey,0.3529
2011,New Mexico,0.2555
2011,New York,0.3293
2011,North Carolina,0.2692
2011,North Dakota,0.2631
2011,Ohio,0.2466
2011,Oklahoma,0.2382
2011,Oregon,0.2933
