year,county,value
2016,Hawaiʻi,0.7475
2016,Honolulu,0.8518
2016,Kauaʻi,0.8031
2016,Maui,0.8388
2017,Hawaiʻi,0.7566
2017,Honolulu,0.8637
2017,Kauaʻi,0.8161
2017,Maui,0.8608
2018,Hawaiʻi,0.7548
2018,Honolulu,0.8829
2018,Kauaʻi,0.8812
2018,Maui,0.8374
2019,Hawaiʻi,0.8508
2019,Honolulu,0.8923
2019,Kauaʻi,0.9176
2019,Maui,0.8333
2021,Hawaiʻi,0.8795
2021,Honolulu,0.9263
2021,Kauaʻi,0.948
2021,Maui,0.8649
2022,Hawaiʻi,0.9041
2022,Honolulu,0.9151
2022,Kauaʻi,0.9608
2022,Maui,0.8914
2023,Hawaiʻi,0.9163
2023,Honolulu,0.9293
2023,Kauaʻi,0.9306
2023,Maui,0.9184
