year,state,value
2016,Alabama,0.7467
2016,Alaska,0.8573
2016,Arizona,0.8312
2016,Arkansas,0.7094
2016,California,0.8541
2016,Colorado,0.8694
2016,Connecticut,0.8413
2016,Delaware,0.8334
2016,Florida,0.8116
2016,Georgia,0.8065
2016,Hawaiʻi,0.8318
2016,Idaho,0.7937
2016,Illinois,0.8199
2016,Indiana,0.7922
2016,Iowa,0.7962
2016,Kansas,0.8028
2016,Kentucky,0.7731
2016,Louisiana,0.7437
2016,Maine,0.8071
2016,Maryland,0.8579
2016,Massachusetts,0.8551
2016,Michigan,0.8048
2016,Minnesota,0.8351
2016,Mississippi,0.7066
2016,Missouri,0.7928
2016,Montana,0.7885
2016,Nebraska,0.8158
2016,Nevada,0.8088
2016,New Hampshire,0.8643
2016,New Jersey,0.8424
2016,New Mexico,0.7374
2016,New York,0.8167
2016,North Carolina,0.7895
2016,North Dakota,0.814
2016,Ohio,0.8088
2016,Oklahoma,0.7717
2016,Oregon,0.849
2016,Pennsylvania,0.8045
2016,Rhode Island,0.8283
2016,South Carolina,0.7701
2016,South Dakota,0.7952
2016,Tennessee,0.767
2016,Texas,0.8055
2016,Utah,0.8538
2016,Vermont,0.8114
2016,Virginia,0.8342
2016,Washington,0.8742
2016,West Virginia,0.7421
2016,Wisconsin,0.8129
2016,Wyoming,0.8324
2017,Alabama,0.7814
2017,Alaska,0.8607
2017,Arizona,0.8568
2017,Arkansas,0.7301
2017,California,0.8766
2017,Colorado,0.8824
2017,Connecticut,0.8553
2017,Delaware,0.8625
2017,Florida,0.8321
2017,Georgia,0.8268
2017,Hawaiʻi,0.8448
2017,Idaho,0.8249
2017,Illinois,0.8364
2017,Indiana,0.8118
2017,Iowa,0.8184
2017,Kansas,0.8296
2017,Kentucky,0.7888
2017,Louisiana,0.7557
2017,Maine,0.8196
2017,Maryland,0.8774
2017,Massachusetts,0.8679
2017,Michigan,0.8278
2017,Minnesota,0.8588
2017,Mississippi,0.7339
2017,Missouri,0.8127
2017,Montana,0.8133
2017,Nebraska,0.8438
2017,Nevada,0.8337
2017,New Hampshire,0.8843
2017,New Jersey,0.8675
2017,New Mexico,0.7644
2017,New York,0.834
2017,North Carolina,0.8163
2017,North Dakota,0.8125
2017,Ohio,0.832
2017,Oklahoma,0.7972
2017,Oregon,0.8682
2017,Pennsylvania,0.8146
2017,Rhode Island,0.8552
2017,South Carolina,0.7921
2017,South Dakota,0.8055
2017,Tennessee,0.7935
2017,Texas,0.8328
2017,Utah,0.8782
2017,Vermont,0.8143
2017,Virginia,0.8483
2017,Washington,0.8909
2017,West Virginia,0.7603
2017,Wisconsin,0.8334
2017,Wyoming,0.8368
2018,Alabama,0.7933
2018,Alaska,0.8747
2018,Arizona,0.8624
2018,Arkansas,0.7691
2018,California,0.8874
2018,Colorado,0.8939
2018,Connecticut,0.8701
2018,Delaware,0.8837
2018,Florida,0.8525
2018,Georgia,0.8375
2018,Hawaiʻi,0.8573
2018,Idaho,0.8621
2018,Illinois,0.851
2018,Indiana,0.8277
2018,Iowa,0.8358
2018,Kansas,0.8433
2018,Kentucky,0.8167
2018,Louisiana,0.781
2018,Maine,0.8396
2018,Maryland,0.8817
2018,Massachusetts,0.8794
2018,Michigan,0.8412
2018,Minnesota,0.8678
2018,Mississippi,0.7626
2018,Missouri,0.8293
2018,Montana,0.8358
2018,Nebraska,0.8574
2018,Nevada,0.8587
2018,New Hampshire,0.8908
2018,New Jersey,0.8798
2018,New Mexico,0.7691
2018,New York,0.8525
2018,North Carolina,0.835
2018,North Dakota,0.8032
2018,Ohio,0.8451
2018,Oklahoma,0.8195
2018,Oregon,0.8791
2018,Pennsylvania,0.8406
2018,Rhode Island,0.8532
2018,South Carolina,0.815
2018,South Dakota,0.8211
2018,Tennessee,0.8207
2018,Texas,0.8451
2018,Utah,0.8997
2018,Vermont,0.8247
2018,Virginia,0.8559
2018,Washington,0.8997
2018,West Virginia,0.7896
2018,Wisconsin,0.8445
2018,Wyoming,0.8568
2019,Alabama,0.8159
2019,Alaska,0.8783
2019,Arizona,0.872
2019,Arkansas,0.7985
2019,California,0.8981
2019,Colorado,0.9096
2019,Connecticut,0.8855
2019,Delaware,0.8879
2019,Florida,0.8682
2019,Georgia,0.8504
2019,Hawaiʻi,0.8802
2019,Idaho,0.8841
2019,Illinois,0.8597
