year,county,value
2000,Hawaiʻi,9.3
2000,Honolulu,9
2000,Kauaʻi,11.4
2000,Maui,11.6
2001,Hawaiʻi,10.5
2001,Honolulu,9.3
2001,Kauaʻi,11.6
2001,Maui,11.9
2002,Hawaiʻi,10.9
2002,Honolulu,10.7
2002,Kauaʻi,13.4
2002,Maui,12
2003,Hawaiʻi,10.5
2003,Honolulu,10
2003,Kauaʻi,11.6
2003,Maui,11.3
2004,Hawaiʻi,10.1
2004,Honolulu,9.7
2004,Kauaʻi,10.2
2004,Maui,11.9
2005,Hawaiʻi,11.8
2005,Honolulu,9.5
2005,Kauaʻi,11.9
2005,Maui,11.9
2006,Hawaiʻi,13.2
2006,Honolulu,10.5
2006,Kauaʻi,13.8
2006,Maui,12.5
2007,Hawaiʻi,10.9
2007,Honolulu,9.8
2007,Kauaʻi,10.5
2007,Maui,10.6
2008,Hawaiʻi,9
2008,Honolulu,8.5
2008,Kauaʻi,8.9
2008,Maui,9.4
2009,Hawaiʻi,9
2009,Honolulu,8.2
2009,Kauaʻi,9.3
2009,Maui,8.5
2010,Hawaiʻi,8.3
2010,Honolulu,7.6
2010,Kauaʻi,9.6
2010,Maui,8.6
2011,Hawaiʻi,8.4
2011,Honolulu,7.9
2011,Kauaʻi,8.1
2011,Maui,8.2
2012,Hawaiʻi,7.9
2012,Honolulu,7.5
2012,Kauaʻi,9.3
2012,Maui,9.1
2013,Hawaiʻi,8.2
2013,Honolulu,8.2
2013,Kauaʻi,8.9
2013,Maui,9.9
2014,Hawaiʻi,8.8
2014,Honolulu,8.1
2014,Kauaʻi,8.5
2014,Maui,9.6
2015,Hawaiʻi,8.9
2015,Honolulu,7.9
2015,Kauaʻi,8.2
2015,Maui,9.7
2016,Hawaiʻi,8.5
2016,Honolulu,8.4
2016,Kauaʻi,9.9
2016,Maui,9.8
2017,Hawaiʻi,7.9
2017,Honolulu,8.4
2017,Kauaʻi,8.4
2017,Maui,8.9
2018,Hawaiʻi,9.3
2018,Honolulu,7.9
2018,Kauaʻi,8.9
2018,Maui,8.8
2019,Hawaiʻi,9
2019,Honolulu,8.1
2019,Kauaʻi,9.5
2019,Maui,9.1
2020,Hawaiʻi,9.1
2020,Honolulu,7.1
2020,Kauaʻi,8.1
2020,Maui,9.1
2021,Hawaiʻi,9.2
2021,Honolulu,8.1
2021,Kauaʻi,8.7
2021,Maui,9.5
2022,Hawaiʻi,11.5
2022,Honolulu,10.2
2022,Kauaʻi,14.9
2022,Maui,14.2
2023,Hawaiʻi,9.7
2023,Honolulu,8.8
2023,Kauaʻi,9.8
2023,Maui,10
