year,state,value
1978,Alabama,15.995
1978,Alaska,23.672
1978,Arizona,20.604
1978,Arkansas,16.996
1978,California,18.108
1978,Colorado,20.052
1978,Connecticut,12.418
1978,Delaware,13.091
1978,Florida,18.673
1978,Georgia,15.994
1978,Hawaiʻi,16.491
1978,Idaho,18.836
1978,Illinois,13.019
1978,Indiana,13.224
1978,Iowa,13.259
1978,Kansas,14.014
1978,Kentucky,14.648
1978,Louisiana,15.554
1978,Maine,15.111
1978,Maryland,13.405
1978,Massachusetts,11.88
1978,Michigan,13.671
1978,Minnesota,14.136
1978,Mississippi,15.616
1978,Missouri,14.443
1978,Montana,17.506
1978,Nebraska,12.911
1978,Nevada,22.028
1978,New Hampshire,16.189
1978,New Jersey,13.132
1978,New Mexico,19.428
1978,New York,12.282
1978,North Carolina,14.831
1978,North Dakota,13.898
1978,Ohio,12.524
1978,Oklahoma,16.751
1978,Oregon,18.882
1978,Pennsylvania,11.873
1978,Rhode Island,12.334
1978,South Carolina,15.735
1978,South Dakota,14.577
1978,Tennessee,15.16
1978,Texas,17.891
1978,Utah,19.346
1978,Vermont,16.016
1978,Virginia,14.963
1978,Washington,18.54
1978,West Virginia,13.325
1978,Wisconsin,13.335
1978,Wyoming,20.53
1979,Alabama,14.238
1979,Alaska,19.318
1979,Arizona,17.911
1979,Arkansas,14.609
1979,California,16.851
1979,Colorado,17.414
1979,Connecticut,11.686
1979,Delaware,13.076
1979,Florida,17.514
1979,Georgia,14.809
1979,Hawaiʻi,16.049
1979,Idaho,15.315
1979,Illinois,11.886
1979,Indiana,11.985
1979,Iowa,11.662
1979,Kansas,12.858
1979,Kentucky,13.686
1979,Louisiana,15.4
1979,Maine,13.085
1979,Maryland,13
1979,Massachusetts,11.213
1979,Michigan,12.123
1979,Minnesota,12.808
1979,Mississippi,14.362
1979,Missouri,13.268
1979,Montana,15.701
1979,Nebraska,12.059
1979,Nevada,20.728
1979,New Hampshire,14.265
1979,New Jersey,12.643
1979,New Mexico,16.319
1979,New York,11.621
1979,North Carolina,13.47
1979,North Dakota,14.295
1979,Ohio,11.571
1979,Oklahoma,16.096
1979,Oregon,16.416
1979,Pennsylvania,11.125
1979,Rhode Island,11.548
1979,South Carolina,13.563
1979,South Dakota,13.641
1979,Tennessee,14.252
1979,Texas,16.599
1979,Utah,16.154
1979,Vermont,14.008
1979,Virginia,13.64
1979,Washington,16.202
1979,West Virginia,14.156
1979,Wisconsin,11.614
1979,Wyoming,17.583
1980,Alabama,12.638
1980,Alaska,16.755
1980,Arizona,17.232
1980,Arkansas,12.925
1980,California,15.58
1980,Colorado,16.458
1980,Connecticut,10.952
1980,Delaware,10.965
1980,Florida,16.866
1980,Georgia,13.305
1980,Hawaiʻi,15.097
1980,Idaho,14.33
1980,Illinois,11.203
1980,Indiana,10.825
1980,Iowa,10.707
1980,Kansas,11.433
1980,Kentucky,11.534
1980,Louisiana,13.501
1980,Maine,11.495
1980,Maryland,11.968
1980,Massachusetts,10.525
1980,Michigan,11.148
1980,Minnesota,11.234
1980,Mississippi,13.059
1980,Missouri,11.553
1980,Montana,13.167
1980,Nebraska,10.996
1980,Nevada,18.476
1980,New Hampshire,11.983
1980,New Jersey,11.582
1980,New Mexico,14.941
1980,New York,10.945
1980,North Carolina,11.989
1980,North Dakota,12.317
1980,Ohio,10.186
1980,Oklahoma,14.764
1980,Oregon,15.571
1980,Pennsylvania,9.76
1980,Rhode Island,10.2
1980,South Carolina,12.917
1980,South Dakota,11.391
1980,Tennessee,12.632
1980,Texas,15.623
1980,Utah,14.841
1980,Vermont,12.362
1980,Virginia,12.279
1980,Washington,14.707
1980,West Virginia,11.584
1980,Wisconsin,10.099
1980,Wyoming,15.959
1981,Alabama,12.367
1981,Alaska,18.632
1981,Arizona,17.181
1981,Arkansas,12.703
1981,California,15.181
1981,Colorado,16.494
1981,Connecticut,10.836
1981,Delaware,11.02
1981,Florida,17.083
1981,Georgia,13.668
1981,Hawaiʻi,14.444
1981,Idaho,13.349
1981,Illinois,11.067
1981,Indiana,10.29
1981,Iowa,10.324
1981,Kansas,11.952
1981,Kentucky,11.419
1981,Louisiana,14.222
1981,Maine,11.27
1981,Maryland,11.994
1981,Massachusetts,10.65
1981,Michigan,10.831
1981,Minnesota,10.976
1981,Mississippi,11.93
1981,Missouri,11.682
1981,Montana,13.347
1981,Nebraska,10.685
1981,Nevada,18.02
1981,New Hampshire,12.592
1981,New Jersey,11.351
1981,New Mexico,14.987
1981,New York,11.119
1981,North Carolina,12.037
1981,North Dakota,11.843
1981,Ohio,10.237
1981,Oklahoma,15.621
1981,Oregon,14.365
1981,Pennsylvania,9.532
1981,Rhode Island,10.357
1981,South Carolina,12.923
1981,South Dakota,10.549
1981,Tennessee,12.262
1981,Texas,16.301
1981,Utah,16.224
1981,Vermont,11.705
1981,Virginia,12.401
1981,Washington,14.274
1981,West Virginia,11.81
1981,Wisconsin,9.949
1981,Wyoming,15.98
1982,Alabama,11.689
1982,Alaska,19.91
1982,Arizona,16.764
1982,Arkansas,12.825
1982,California,14.199
1982,Colorado,16.402
1982,Connecticut,10.632
1982,Delaware,11.326
1982,Florida,15.889
1982,Georgia,12.903
1982,Hawaiʻi,12.74
1982,Idaho,13.17
1982,Illinois,10.813
1982,Indiana,10.305
1982,Iowa,9.54
1982,Kansas,11.811
1982,Kentucky,11.943
1982,Louisiana,14.185
1982,Maine,10.768
1982,Maryland,11.881
1982,Massachusetts,10.557
1982,Michigan,10.604
1982,Minnesota,10.728
1982,Mississippi,11.573
1982,Missouri,11.247
1982,Montana,13.004
1982,Nebraska,10.474
1982,Nevada,16.851
1982,New Hampshire,12.378
1982,New Jersey,11.119
1982,New Mexico,14.936
1982,New York,10.839
1982,North Carolina,11.763
1982,North Dakota,11.805
1982,Ohio,10.051
1982,Oklahoma,16.018
1982,Oregon,13.378
1982,Pennsylvania,9.725
1982,Rhode Island,9.797
1982,South Carolina,12.208
1982,South Dakota,10.803
1982,Tennessee,12.695
1982,Texas,15.952
1982,Utah,14.757
1982,Vermont,12.603
1982,Virginia,12.09
1982,Washington,13.921
1982,West Virginia,11.159
1982,Wisconsin,9.944
1982,Wyoming,16.245
1983,Alabama,12.735
1983,Alaska,24.789
1983,Arizona,17.075
1983,Arkansas,13.624
1983,California,14.401
1983,Colorado,16.276
1983,Connecticut,11.592
1983,Delaware,13.443
1983,Florida,16.922
1983,Georgia,14.506
1983,Hawaiʻi,14.362
1983,Idaho,14.07
1983,Illinois,11.9
1983,Indiana,12.291
1983,Iowa,10.402
1983,Kansas,12.316
1983,Kentucky,12.411
1983,Louisiana,13.662
1983,Maine,12.442
1983,Maryland,13.272
1983,Massachusetts,11.528
1983,Michigan,12.474
