year,state,value
2006-2008,Alabama,0.133
2006-2008,Alaska,0.116
2006-2008,Arizona,0.132
2006-2008,Arkansas,0.159
2006-2008,California,0.12
2006-2008,Colorado,0.116
2006-2008,Connecticut,0.11
2006-2008,Delaware,0.094
2006-2008,Florida,0.122
2006-2008,Georgia,0.142
2006-2008,Hawaiʻi,0.091
2006-2008,Idaho,0.114
2006-2008,Illinois,0.111
2006-2008,Indiana,0.112
2006-2008,Iowa,0.116
2006-2008,Kansas,0.138
2006-2008,Kentucky,0.126
2006-2008,Louisiana,0.11
2006-2008,Maine,0.137
2006-2008,Maryland,0.096
2006-2008,Massachusetts,0.083
2006-2008,Michigan,0.12
2006-2008,Minnesota,0.103
2006-2008,Mississippi,0.174
2006-2008,Missouri,0.14
2006-2008,Montana,0.109
2006-2008,Nebraska,0.104
2006-2008,Nevada,0.124
2006-2008,New Hampshire,0.085
2006-2008,New Jersey,0.103
2006-2008,New Mexico,0.141
2006-2008,New York,0.113
2006-2008,North Carolina,0.137
2006-2008,North Dakota,0.069
2006-2008,Ohio,0.133
2006-2008,Oklahoma,0.14
2006-2008,Oregon,0.131
2006-2008,Pennsylvania,0.112
2006-2008,Rhode Island,0.117
2006-2008,South Carolina,0.131
2006-2008,South Dakota,0.103
2006-2008,Tennessee,0.135
2006-2008,Texas,0.163
2006-2008,Utah,0.112
2006-2008,Vermont,0.121
2006-2008,Virginia,0.086
2006-2008,Washington,0.111
2006-2008,West Virginia,0.12
2006-2008,Wisconsin,0.101
2006-2008,Wyoming,0.092
2007-2009,Alabama,0.15
2007-2009,Alaska,0.129
2007-2009,Arizona,0.145
2007-2009,Arkansas,0.177
2007-2009,California,0.141
2007-2009,Colorado,0.122
2007-2009,Connecticut,0.114
2007-2009,Delaware,0.095
2007-2009,Florida,0.142
2007-2009,Georgia,0.156
2007-2009,Hawaiʻi,0.114
2007-2009,Idaho,0.116
2007-2009,Illinois,0.122
2007-2009,Indiana,0.123
2007-2009,Iowa,0.115
2007-2009,Kansas,0.142
2007-2009,Kentucky,0.134
2007-2009,Louisiana,0.1
2007-2009,Maine,0.148
2007-2009,Maryland,0.111
2007-2009,Massachusetts,0.1
2007-2009,Michigan,0.134
2007-2009,Minnesota,0.105
2007-2009,Mississippi,0.171
2007-2009,Missouri,0.15
2007-2009,Montana,0.124
2007-2009,Nebraska,0.122
2007-2009,Nevada,0.128
2007-2009,New Hampshire,0.089
2007-2009,New Jersey,0.115
2007-2009,New Mexico,0.147
2007-2009,New York,0.124
2007-2009,North Carolina,0.148
2007-2009,North Dakota,0.067
2007-2009,Ohio,0.148
2007-2009,Oklahoma,0.152
2007-2009,Oregon,0.139
2007-2009,Pennsylvania,0.118
2007-2009,Rhode Island,0.137
2007-2009,South Carolina,0.135
2007-2009,South Dakota,0.112
2007-2009,Tennessee,0.151
2007-2009,Texas,0.174
2007-2009,Utah,0.118
2007-2009,Vermont,0.136
2007-2009,Virginia,0.092
2007-2009,Washington,0.14
2007-2009,West Virginia,0.134
2007-2009,Wisconsin,0.114
2007-2009,Wyoming,0.098
2008-2010,Alabama,0.173
2008-2010,Alaska,0.136
2008-2010,Arizona,0.153
2008-2010,Arkansas,0.186
2008-2010,California,0.159
2008-2010,Colorado,0.134
2008-2010,Connecticut,0.127
2008-2010,Delaware,0.097
2008-2010,Florida,0.161
2008-2010,Georgia,0.169
2008-2010,Hawaiʻi,0.131
2008-2010,Idaho,0.124
2008-2010,Illinois,0.129
2008-2010,Indiana,0.13
2008-2010,Iowa,0.121
2008-2010,Kansas,0.145
2008-2010,Kentucky,0.156
2008-2010,Louisiana,0.126
2008-2010,Maine,0.154
2008-2010,Maryland,0.125
2008-2010,Massachusetts,0.108
2008-2010,Michigan,0.147
2008-2010,Minnesota,0.103
2008-2010,Mississippi,0.194
2008-2010,Missouri,0.158
2008-2010,Montana,0.141
2008-2010,Nebraska,0.127
2008-2010,Nevada,0.147
2008-2010,New Hampshire,0.096
2008-2010,New Jersey,0.121
2008-2010,New Mexico,0.154
2008-2010,New York,0.129
2008-2010,North Carolina,0.157
2008-2010,North Dakota,0.071
2008-2010,Ohio,0.164
2008-2010,Oklahoma,0.164
2008-2010,Oregon,0.137
2008-2010,Pennsylvania,0.125
2008-2010,Rhode Island,0.147
2008-2010,South Carolina,0.148
2008-2010,South Dakota,0.123
2008-2010,Tennessee,0.15
2008-2010,Texas,0.188
2008-2010,Utah,0.13
2008-2010,Vermont,0.138
2008-2010,Virginia,0.096
2008-2010,Washington,0.147
2008-2010,West Virginia,0.141
2008-2010,Wisconsin,0.118
2008-2010,Wyoming,0.116
2009-2011,Alabama,0.182
2009-2011,Alaska,0.139
2009-2011,Arizona,0.158
2009-2011,Arkansas,0.192
2009-2011,California,0.162
2009-2011,Colorado,0.134
2009-2011,Connecticut,0.119
2009-2011,Delaware,0.109
2009-2011,Florida,0.154
2009-2011,Georgia,0.174
2009-2011,Hawaiʻi,0.138
2009-2011,Idaho,0.137
2009-2011,Illinois,0.133
2009-2011,Indiana,0.132
2009-2011,Iowa,0.12
2009-2011,Kansas,0.145
2009-2011,Kentucky,0.164
2009-2011,Louisiana,0.141
2009-2011,Maine,0.147
2009-2011,Maryland,0.125
2009-2011,Massachusetts,0.119
2009-2011,Michigan,0.142
2009-2011,Minnesota,0.102
2009-2011,Mississippi,0.192
2009-2011,Missouri,0.16
2009-2011,Montana,0.145
2009-2011,Nebraska,0.133
2009-2011,Nevada,0.153
2009-2011,New Hampshire,0.096
2009-2011,New Jersey,0.123
2009-2011,New Mexico,0.165
2009-2011,New York,0.133
2009-2011,North Carolina,0.171
2009-2011,North Dakota,0.078
2009-2011,Ohio,0.155
2009-2011,Oklahoma,0.147
2009-2011,Oregon,0.136
2009-2011,Pennsylvania,0.125
2009-2011,Rhode Island,0.155
2009-2011,South Carolina,0.148
2009-2011,South Dakota,0.127
2009-2011,Tennessee,0.152
2009-2011,Texas,0.185
2009-2011,Utah,0.146
2009-2011,Vermont,0.128
2009-2011,Virginia,0.091
2009-2011,Washington,0.154
2009-2011,West Virginia,0.141
2009-2011,Wisconsin,0.113
2009-2011,Wyoming,0.127
2010-2012,Alabama,0.179
2010-2012,Alaska,0.121
2010-2012,Arizona,0.149
2010-2012,Arkansas,0.197
2010-2012,California,0.156
2010-2012,Colorado,0.141
2010-2012,Connecticut,0.134
2010-2012,Delaware,0.116
2010-2012,Florida,0.148
2010-2012,Georgia,0.169
2010-2012,Hawaiʻi,0.14
2010-2012,Idaho,0.143
2010-2012,Illinois,0.13
2010-2012,Indiana,0.135
