year,state,value
2006,Alabama,47.2
2006,Alaska,41.7
2006,Arizona,45.4
2006,Arkansas,46
2006,California,46.6
2006,Colorado,45
2006,Connecticut,48
2006,Delaware,43.4
2006,Florida,46.7
2006,Georgia,46.1
2006,Hawaiʻi,43.8
2006,Idaho,42.1
2006,Illinois,46.2
2006,Indiana,43.2
2006,Iowa,42.4
2006,Kansas,44.1
2006,Kentucky,46
2006,Louisiana,47.5
2006,Maine,42.8
2006,Maryland,43.3
2006,Massachusetts,46.1
2006,Michigan,44.4
2006,Minnesota,43
2006,Mississippi,47.1
2006,Missouri,44.9
2006,Montana,42.6
2006,Nebraska,43
2006,Nevada,43.4
2006,New Hampshire,41.7
2006,New Jersey,45.8
2006,New Mexico,45.7
2006,New York,49.5
2006,North Carolina,45.8
2006,North Dakota,43.4
2006,Ohio,44.9
2006,Oklahoma,46
2006,Oregon,44.4
2006,Pennsylvania,45.5
2006,Rhode Island,44.2
2006,South Carolina,46.2
2006,South Dakota,43.9
2006,Tennessee,46.8
2006,Texas,47.4
2006,Utah,41
2006,Vermont,42
2006,Virginia,45.6
2006,Washington,44.3
2006,West Virginia,44.7
2006,Wisconsin,42.4
2006,Wyoming,41.3
2007,Alabama,47.1
2007,Alaska,40.9
2007,Arizona,44.8
2007,Arkansas,46.2
2007,California,46.9
2007,Colorado,45.2
2007,Connecticut,48.1
2007,Delaware,43.5
2007,Florida,46.9
2007,Georgia,46.4
2007,Hawaiʻi,42.2
2007,Idaho,43.6
2007,Illinois,46.6
2007,Indiana,42.9
2007,Iowa,42.6
2007,Kansas,44.4
2007,Kentucky,46.5
2007,Louisiana,47.8
2007,Maine,44
2007,Maryland,44.2
2007,Massachusetts,46.7
2007,Michigan,44.8
2007,Minnesota,43.6
2007,Mississippi,48
2007,Missouri,45
2007,Montana,44.3
2007,Nebraska,42.9
2007,Nevada,43.7
2007,New Hampshire,41.7
2007,New Jersey,46.4
2007,New Mexico,45.9
2007,New York,50
2007,North Carolina,46.5
2007,North Dakota,44
2007,Ohio,44.8
2007,Oklahoma,46.3
2007,Oregon,44.2
2007,Pennsylvania,46
2007,Rhode Island,45.7
2007,South Carolina,45.9
2007,South Dakota,42.3
2007,Tennessee,47.1
2007,Texas,47.3
2007,Utah,40.9
2007,Vermont,42.8
2007,Virginia,45.6
2007,Washington,44.4
2007,West Virginia,45.4
2007,Wisconsin,42.8
2007,Wyoming,43.7
2008,Alabama,46.7
2008,Alaska,40.3
2008,Arizona,45.3
2008,Arkansas,45.9
2008,California,47.3
2008,Colorado,45.7
2008,Connecticut,48.6
2008,Delaware,44.7
2008,Florida,47.1
2008,Georgia,46.7
2008,Hawaiʻi,42.8
2008,Idaho,41.9
2008,Illinois,46.7
2008,Indiana,43.7
2008,Iowa,42.8
2008,Kansas,44.2
2008,Kentucky,46.7
2008,Louisiana,47.7
2008,Maine,43.6
2008,Maryland,43.8
2008,Massachusetts,47.1
2008,Michigan,45.1
2008,Minnesota,44.5
2008,Mississippi,47.8
2008,Missouri,44.8
2008,Montana,44.9
2008,Nebraska,42.7
2008,Nevada,43.1
2008,New Hampshire,41.9
2008,New Jersey,46.2
2008,New Mexico,46
2008,New York,50.3
2008,North Carolina,46.3
2008,North Dakota,45.1
2008,Ohio,45
2008,Oklahoma,45.8
2008,Oregon,44.7
2008,Pennsylvania,45.7
2008,Rhode Island,46
2008,South Carolina,46.4
2008,South Dakota,44.6
2008,Tennessee,47.1
2008,Texas,47.4
2008,Utah,41.1
2008,Vermont,43.4
2008,Virginia,46
2008,Washington,44.2
2008,West Virginia,45.3
2008,Wisconsin,42.6
2008,Wyoming,44.1
2009,Alabama,47.1
2009,Alaska,40.2
2009,Arizona,45.1
2009,Arkansas,46.1
2009,California,46.7
2009,Colorado,45.3
2009,Connecticut,48
2009,Delaware,43.4
2009,Florida,46.9
2009,Georgia,46.9
2009,Hawaiʻi,42.5
2009,Idaho,42.1
2009,Illinois,46.9
2009,Indiana,43.4
2009,Iowa,43.1
2009,Kansas,44.4
2009,Kentucky,46.4
2009,Louisiana,47.3
2009,Maine,43.2
2009,Maryland,44.8
2009,Massachusetts,46.8
2009,Michigan,45.3
2009,Minnesota,43.9
2009,Mississippi,47
2009,Missouri,45
2009,Montana,43.1
2009,Nebraska,44
2009,Nevada,43.3
2009,New Hampshire,43.1
2009,New Jersey,46.5
2009,New Mexico,45.3
2009,New York,50.2
2009,North Carolina,46.4
2009,North Dakota,45
2009,Ohio,45.3
2009,Oklahoma,46
2009,Oregon,44.3
2009,Pennsylvania,46
2009,Rhode Island,45.7
2009,South Carolina,46.2
2009,South Dakota,45.2
2009,Tennessee,46.7
2009,Texas,47.4
2009,Utah,41.4
2009,Vermont,42.8
2009,Virginia,45.6
2009,Washington,43.9
2009,West Virginia,46.3
2009,Wisconsin,43.2
2009,Wyoming,41.5
2010,Alabama,47.2
2010,Alaska,42.2
2010,Arizona,45.5
2010,Arkansas,45.8
2010,California,47.1
2010,Colorado,45.7
2010,Connecticut,48.6
2010,Delaware,44
2010,Florida,47.4
2010,Georgia,46.8
2010,Hawaiʻi,43.3
2010,Idaho,43.3
2010,Illinois,46.5
2010,Indiana,44
2010,Iowa,42.7
2010,Kansas,44.5
2010,Kentucky,46.6
2010,Louisiana,47.5
2010,Maine,43.7
2010,Maryland,44.3
2010,Massachusetts,47.5
2010,Michigan,45.1
2010,Minnesota,44
2010,Mississippi,46.8
2010,Missouri,45.5
2010,Montana,43.5
2010,Nebraska,43.2
2010,Nevada,44.8
2010,New Hampshire,42.5
2010,New Jersey,46.4
2010,New Mexico,46.4
2010,New York,49.9
2010,North Carolina,46.4
2010,North Dakota,43.3
2010,Ohio,45.2
2010,Oklahoma,45.4
2010,Oregon,44.9
2010,Pennsylvania,46.1
2010,Rhode Island,46.7
2010,South Carolina,46.1
2010,South Dakota,44.2
2010,Tennessee,46.8
2010,Texas,46.9
2010,Utah,41.9
2010,Vermont,44.4
2010,Virginia,45.9
2010,Washington,44.1
2010,West Virginia,45.1
2010,Wisconsin,43
2010,Wyoming,42.3
2011,Alabama,47.35
2011,Alaska,40.99
2011,Arizona,46
2011,Arkansas,46.84
2011,California,48.12
2011,Colorado,45.88
2011,Connecticut,48.59
2011,Delaware,44.04
2011,Florida,48.11
2011,Georgia,47.7
2011,Hawaiʻi,43.01
2011,Idaho,43.2
2011,Illinois,47.18
2011,Indiana,44.61
2011,Iowa,43.4
2011,Kansas,44.42
2011,Kentucky,47.09
2011,Louisiana,48.36
2011,Maine,45.09
2011,Maryland,44.66
2011,Massachusetts,47.71
2011,Michigan,46.12
2011,Minnesota,44.36
2011,Mississippi,47.35
2011,Missouri,46.11
2011,Montana,43.51
2011,Nebraska,44.67
2011,Nevada,45.26
2011,New Hampshire,43.47
2011,New Jersey,46.94
2011,New Mexico,48.21
2011,New York,50.33
2011,North Carolina,47.16
2011,North Dakota,44.48
2011,Ohio,45.94
2011,Oklahoma,46.13
2011,Oregon,45.86
2011,Pennsylvania,46.11
2011,Rhode Island,46.74
2011,South Carolina,46.48
2011,South Dakota,43.24
2011,Tennessee,47.56
2011,Texas,47.71
2011,Utah,42.49
2011,Vermont,43.08
2011,Virginia,46.32
2011,Washington,44.49
2011,West Virginia,47.21
2011,Wisconsin,43.7
