year,county,value
2013,Hawaiʻi,6
2013,Honolulu,7.8
2013,Kauaʻi,8.3
2013,Maui,7.2
2014,Hawaiʻi,5.8
2014,Honolulu,7.9
2014,Kauaʻi,7.6
2014,Maui,8
2015,Hawaiʻi,5.4
2015,Honolulu,8.2
2015,Kauaʻi,6.4
2015,Maui,8.1
2016,Hawaiʻi,5.8
2016,Honolulu,8.2
2016,Kauaʻi,7.8
2016,Maui,8.3
2017,Hawaiʻi,6
2017,Honolulu,8.4
2017,Kauaʻi,6.7
2017,Maui,8
2018,Hawaiʻi,6.4
2018,Honolulu,8.3
2018,Kauaʻi,7.8
2018,Maui,7.6
2019,Hawaiʻi,5.7
2019,Honolulu,8.5
2019,Kauaʻi,7.6
2019,Maui,8.6
2021,Hawaiʻi,6.8
2021,Honolulu,8.6
2021,Kauaʻi,8.6
2021,Maui,9.8
2022,Hawaiʻi,7.4
2022,Honolulu,9.1
2022,Kauaʻi,9.7
2022,Maui,9.7
2023,Hawaiʻi,7.1
2023,Honolulu,8.7
2023,Kauaʻi,8.6
2023,Maui,11.2
2024,Hawaiʻi,7.7
2024,Honolulu,8.8
2024,Kauaʻi,9.6
2024,Maui,10.5
