year,state,value
2005,Alabama,2.64
2005,Alaska,3.5
2005,Arizona,4.19
2005,Arkansas,2.5
2005,California,8.91
2005,Colorado,4.41
2005,Connecticut,4.46
2005,Delaware,3.88
2005,Florida,4.47
2005,Georgia,3.23
2005,Hawaiʻi,7.81
2005,Idaho,3.26
2005,Illinois,3.66
2005,Indiana,2.6
2005,Iowa,2.44
2005,Kansas,2.51
2005,Kentucky,2.78
2005,Louisiana,2.77
2005,Maine,3.63
2005,Maryland,4.55
2005,Massachusetts,6.32
2005,Michigan,3.24
2005,Minnesota,3.82
2005,Mississippi,2.51
2005,Missouri,2.93
2005,Montana,3.35
2005,Nebraska,2.58
2005,Nevada,5.76
2005,New Hampshire,4.23
2005,New Jersey,5.41
2005,New Mexico,3.35
2005,New York,5.23
2005,North Carolina,3.13
2005,North Dakota,2.16
2005,Ohio,2.98
2005,Oklahoma,2.4
2005,Oregon,4.69
2005,Pennsylvania,2.96
2005,Rhode Island,5.47
2005,South Carolina,2.88
2005,South Dakota,2.52
2005,Tennessee,2.93
2005,Texas,2.52
2005,Utah,3.49
2005,Vermont,3.8
2005,Virginia,3.91
2005,Washington,4.62
2005,West Virginia,2.52
2005,Wisconsin,3.24
2005,Wyoming,2.92
2006,Alabama,2.76
2006,Alaska,3.59
2006,Arizona,5
2006,Arkansas,2.57
2006,California,9.46
2006,Colorado,4.48
2006,Connecticut,4.71
2006,Delaware,4.3
2006,Florida,5.07
2006,Georgia,3.35
2006,Hawaiʻi,8.66
2006,Idaho,3.82
2006,Illinois,3.85
2006,Indiana,2.66
2006,Iowa,2.53
2006,Kansas,2.52
2006,Kentucky,2.82
2006,Louisiana,2.92
2006,Maine,3.93
2006,Maryland,5.14
2006,Massachusetts,6.18
2006,Michigan,3.25
2006,Minnesota,3.85
2006,Mississippi,2.57
2006,Missouri,3.08
2006,Montana,3.83
2006,Nebraska,2.62
2006,Nevada,5.95
2006,New Hampshire,4.24
2006,New Jersey,5.69
2006,New Mexico,3.48
2006,New York,5.9
2006,North Carolina,3.22
2006,North Dakota,2.38
2006,Ohio,3.04
2006,Oklahoma,2.44
2006,Oregon,5.12
2006,Pennsylvania,3.14
2006,Rhode Island,5.71
2006,South Carolina,2.98
2006,South Dakota,2.63
2006,Tennessee,3.05
2006,Texas,2.54
2006,Utah,3.67
2006,Vermont,4.05
2006,Virginia,4.34
2006,Washington,5.09
2006,West Virginia,2.56
2006,Wisconsin,3.35
2006,Wyoming,3.14
2007,Alabama,2.85
2007,Alaska,3.6
2007,Arizona,4.76
2007,Arkansas,2.65
2007,California,8.88
2007,Colorado,4.24
2007,Connecticut,4.69
2007,Delaware,4.39
2007,Florida,4.82
2007,Georgia,3.35
2007,Hawaiʻi,8.71
2007,Idaho,3.85
2007,Illinois,3.86
2007,Indiana,2.59
2007,Iowa,2.49
2007,Kansas,2.55
2007,Kentucky,2.84
2007,Louisiana,3.1
2007,Maine,3.84
2007,Maryland,5.1
2007,Massachusetts,5.88
2007,Michigan,3.19
2007,Minnesota,3.83
2007,Mississippi,2.64
2007,Missouri,3.07
2007,Montana,3.91
2007,Nebraska,2.6
2007,Nevada,5.65
2007,New Hampshire,4.2
2007,New Jersey,5.55
2007,New Mexico,3.75
2007,New York,5.81
2007,North Carolina,3.26
2007,North Dakota,2.44
2007,Ohio,2.96
2007,Oklahoma,2.48
2007,Oregon,5.28
2007,Pennsylvania,3.19
2007,Rhode Island,5.47
2007,South Carolina,3.09
2007,South Dakota,2.73
2007,Tennessee,3.09
2007,Texas,2.54
2007,Utah,3.97
2007,Vermont,4.12
2007,Virginia,4.4
2007,Washington,5.41
2007,West Virginia,2.59
2007,Wisconsin,3.34
2007,Wyoming,3.33
2008,Alabama,2.85
2008,Alaska,3.47
2008,Arizona,4.5
2008,Arkansas,2.72
2008,California,7.65
2008,Colorado,4.25
2008,Connecticut,4.46
2008,Delaware,4.33
2008,Florida,4.58
2008,Georgia,3.32
2008,Hawaiʻi,8.33
2008,Idaho,3.86
2008,Illinois,3.82
2008,Indiana,2.61
2008,Iowa,2.46
2008,Kansas,2.51
2008,Kentucky,2.85
2008,Louisiana,3.03
2008,Maine,3.87
2008,Maryland,4.84
2008,Massachusetts,5.41
2008,Michigan,3.11
2008,Minnesota,3.73
2008,Mississippi,2.64
2008,Missouri,3.02
2008,Montana,4.13
2008,Nebraska,2.55
2008,Nevada,4.82
2008,New Hampshire,4.15
2008,New Jersey,5.17
2008,New Mexico,3.79
2008,New York,5.69
2008,North Carolina,3.32
