year,county,value
2013,Hawaiʻi,60
2013,Honolulu,64.9
2013,Kauaʻi,63.8
2013,Maui,69.6
2014,Hawaiʻi,56.6
2014,Honolulu,66.1
2014,Kauaʻi,64.7
2014,Maui,67.1
2015,Hawaiʻi,57.5
2015,Honolulu,66.7
2015,Kauaʻi,67.2
2015,Maui,66.6
2017,Hawaiʻi,58.8
2017,Honolulu,66.3
2017,Kauaʻi,66.5
2017,Maui,66.6
2018,Hawaiʻi,59
2018,Honolulu,67
2018,Kauaʻi,64.5
2018,Maui,66
2019,Hawaiʻi,59.2
2019,Honolulu,66
2019,Kauaʻi,63.9
2019,Maui,66.4
2021,Hawaiʻi,57.3
2021,Honolulu,64.5
2021,Kauaʻi,64.1
2021,Maui,64
2022,Hawaiʻi,55.7
2022,Honolulu,65.1
2022,Kauaʻi,60.6
2022,Maui,64.5
2023,Hawaiʻi,54.2
2023,Honolulu,64.7
2023,Kauaʻi,64.9
2023,Maui,62.9
