year,state,value
1976,Alabama,57
1976,Alaska,68.5
1976,Arizona,59.5
1976,Arkansas,57.8
1976,California,62.5
1976,Colorado,66.8
1976,Connecticut,64.2
1976,Delaware,62.7
1976,Florida,55.3
1976,Georgia,63.8
1976,Hawaiʻi,69.3
1976,Idaho,63.2
1976,Illinois,62.9
1976,Indiana,64
1976,Iowa,64.3
1976,Kansas,65.4
1976,Kentucky,60.1
1976,Louisiana,56.6
1976,Maine,61.6
1976,Maryland,64.2
1976,Massachusetts,64.8
1976,Michigan,61.7
1976,Minnesota,65.7
1976,Mississippi,58.5
1976,Missouri,60.9
1976,Montana,62.2
1976,Nebraska,64.9
1976,Nevada,70.8
1976,New Hampshire,66.1
1976,New Jersey,61.7
1976,New Mexico,60.3
1976,New York,58.1
1976,North Carolina,66.2
1976,North Dakota,62.8
1976,Ohio,61.5
1976,Oklahoma,59
1976,Oregon,63.1
1976,Pennsylvania,58.3
1976,Rhode Island,63.5
1976,South Carolina,64.7
1976,South Dakota,64.9
1976,Tennessee,59.7
1976,Texas,63.6
1976,Utah,62.8
1976,Vermont,63.6
1976,Virginia,65.4
1976,Washington,61.4
1976,West Virginia,51.8
1976,Wisconsin,65.7
1976,Wyoming,65.5
1977,Alabama,58.1
1977,Alaska,69.9
1977,Arizona,60.4
1977,Arkansas,58.4
1977,California,63.7
1977,Colorado,67.3
1977,Connecticut,65
1977,Delaware,63.5
1977,Florida,55.5
1977,Georgia,63.9
1977,Hawaiʻi,68.5
1977,Idaho,65
1977,Illinois,63.8
1977,Indiana,64.2
1977,Iowa,65.7
1977,Kansas,66.3
1977,Kentucky,60.6
1977,Louisiana,57.7
1977,Maine,60.8
1977,Maryland,65
1977,Massachusetts,64.7
1977,Michigan,62.8
1977,Minnesota,67.1
1977,Mississippi,58.8
1977,Missouri,62.4
1977,Montana,63.4
1977,Nebraska,66.4
1977,Nevada,71.2
1977,New Hampshire,67
1977,New Jersey,62.3
1977,New Mexico,61
1977,New York,58.4
1977,North Carolina,66.7
1977,North Dakota,63.6
1977,Ohio,61.8
1977,Oklahoma,60
1977,Oregon,64
1977,Pennsylvania,58.7
1977,Rhode Island,63.6
1977,South Carolina,64.4
1977,South Dakota,65.5
1977,Tennessee,60.8
1977,Texas,64.5
1977,Utah,63.1
1977,Vermont,64.8
1977,Virginia,65.5
1977,Washington,62.8
1977,West Virginia,51.6
1977,Wisconsin,65.9
1977,Wyoming,67.6
1978,Alabama,59
1978,Alaska,71.4
1978,Arizona,60
1978,Arkansas,58.6
1978,California,65.1
1978,Colorado,67.9
1978,Connecticut,65.4
1978,Delaware,63.8
1978,Florida,56.8
1978,Georgia,64.6
1978,Hawaiʻi,67.6
1978,Idaho,65.7
1978,Illinois,64.8
1978,Indiana,65.8
1978,Iowa,66.5
1978,Kansas,66.9
1978,Kentucky,61.1
1978,Louisiana,58.8
1978,Maine,60.3
1978,Maryland,66.6
1978,Massachusetts,65.5
