year,state,value
2007,Alabama,87.013
2007,Alaska,90.946
2007,Arizona,93.263
2007,Arkansas,90.919
2007,California,81.447
2007,Colorado,83.179
2007,Connecticut,98.007
2007,Delaware,96.955
2007,Florida,90.311
2007,Georgia,85.639
2007,Hawaiʻi,90.069
2007,Idaho,85.209
2007,Illinois,90.907
2007,Indiana,91.437
2007,Iowa,90.941
2007,Kansas,81.841
2007,Kentucky,87.002
2007,Louisiana,100.537
2007,Maine,93.371
2007,Maryland,82.6
2007,Massachusetts,87.074
2007,Michigan,93.169
2007,Minnesota,88.291
2007,Mississippi,91.099
2007,Missouri,88.01
2007,Montana,82.939
2007,Nebraska,83.586
2007,Nevada,91.734
2007,New Hampshire,87.534
2007,New Jersey,92.665
2007,New Mexico,87.685
2007,New York,87.833
2007,North Carolina,90.107
2007,North Dakota,66.016
2007,Ohio,89.538
2007,Oklahoma,80.799
2007,Oregon,81.693
2007,Pennsylvania,84.779
2007,Rhode Island,89.728
2007,South Carolina,87.358
2007,South Dakota,84.82
2007,Tennessee,86.137
2007,Texas,85.981
2007,Utah,85.735
2007,Vermont,82.87
2007,Virginia,86.751
2007,Washington,79.562
2007,West Virginia,84.309
2007,Wisconsin,93.747
2007,Wyoming,99.429
2008,Alabama,90.25
2008,Alaska,90.974
2008,Arizona,94.274
2008,Arkansas,90.312
2008,California,84.595
2008,Colorado,83.574
2008,Connecticut,98.699
2008,Delaware,95.401
2008,Florida,90.83
2008,Georgia,85.348
2008,Hawaiʻi,89.594
2008,Idaho,92.494
2008,Illinois,90.757
2008,Indiana,93.982
2008,Iowa,89.99
2008,Kansas,82.634
2008,Kentucky,88.682
2008,Louisiana,100.744
2008,Maine,93.243
2008,Maryland,84.527
2008,Massachusetts,88.088
2008,Michigan,91.175
2008,Minnesota,90.302
2008,Mississippi,94.851
2008,Missouri,92.873
2008,Montana,90.321
2008,Nebraska,80.981
2008,Nevada,89.851
2008,New Hampshire,89.295
2008,New Jersey,95.917
2008,New Mexico,85.992
2008,New York,85.127
2008,North Carolina,95.912
2008,North Dakota,69.73
2008,Ohio,89.753
2008,Oklahoma,82.181
2008,Oregon,86.665
2008,Pennsylvania,87.138
2008,Rhode Island,87.703
2008,South Carolina,86.779
2008,South Dakota,86.955
2008,Tennessee,87.823
2008,Texas,84.572
2008,Utah,86.344
2008,Vermont,85.343
2008,Virginia,89.21
2008,Washington,81.488
2008,West Virginia,86.387
2008,Wisconsin,91.863
2008,Wyoming,99.787
2009,Alabama,95.26
2009,Alaska,104.546
2009,Arizona,92.071
2009,Arkansas,92.911
2009,California,87.674
2009,Colorado,88.576
2009,Connecticut,100.477
2009,Delaware,110.443
2009,Florida,91.237
2009,Georgia,88.106
2009,Hawaiʻi,92.126
2009,Idaho,97.589
2009,Illinois,93.708
2009,Indiana,93.291
2009,Iowa,91.107
2009,Kansas,83.197
2009,Kentucky,91.413
2009,Louisiana,105.041
2009,Maine,96.631
2009,Maryland,87.445
2009,Massachusetts,91.4
2009,Michigan,91.579
2009,Minnesota,93.456
2009,Mississippi,95.209
2009,Missouri,96.891
2009,Montana,95.788
2009,Nebraska,84.725
2009,Nevada,94.052
2009,New Hampshire,92.908
2009,New Jersey,96.051
2009,New Mexico,94.787
2009,New York,93.114
2009,North Carolina,99.16
2009,North Dakota,74.275
2009,Ohio,91.978
2009,Oklahoma,85.068
2009,Oregon,90.764
2009,Pennsylvania,89.195
2009,Rhode Island,93.292
2009,South Carolina,90.532
2009,South Dakota,89.203
2009,Tennessee,90.458
2009,Texas,89.683
2009,Utah,87.179
2009,Vermont,88.41
2009,Virginia,94.749
2009,Washington,83.245
2009,West Virginia,91.43
2009,Wisconsin,95.199
2009,Wyoming,104.803
2010,Alabama,98.739
2010,Alaska,98.782
2010,Arizona,94.102
2010,Arkansas,97.166
2010,California,90.411
2010,Colorado,90.581
2010,Connecticut,101.491
2010,Delaware,112.083
2010,Florida,92.905
2010,Georgia,91.753
2010,Hawaiʻi,94.877
2010,Idaho,101.126
2010,Illinois,95.572
2010,Indiana,99.48
2010,Iowa,92.877
2010,Kansas,86.818
2010,Kentucky,96.967
2010,Louisiana,110.433
2010,Maine,98.386
2010,Maryland,95.434
2010,Massachusetts,95.748
2010,Michigan,96.945
2010,Minnesota,97.081
2010,Mississippi,96.569
2010,Missouri,100.103
2010,Montana,94.112
2010,Nebraska,87.498
2010,Nevada,101.626
2010,New Hampshire,94.776
2010,New Jersey,98.846
2010,New Mexico,98.07
2010,New York,96.703
2010,North Carolina,100.934
2010,North Dakota,77.758
2010,Ohio,93.414
2010,Oklahoma,84.591
2010,Oregon,92.44
2010,Pennsylvania,92.268
2010,Rhode Island,97.264
2010,South Carolina,94.263
2010,South Dakota,90.42
2010,Tennessee,94.048
2010,Texas,91.054
2010,Utah,91.727
2010,Vermont,94.099
2010,Virginia,96.033
2010,Washington,88.381
2010,West Virginia,92.645
2010,Wisconsin,98.263
2010,Wyoming,101.303
2011,Alabama,99.815
