year,state,value
1990,Alabama,252.86
1990,Arizona,259.59
1990,Arkansas,256.21
1990,California,256.32
1990,Colorado,267.37
1990,Connecticut,269.87
1990,Delaware,260.7
1990,Florida,255.32
1990,Georgia,258.85
1990,Hawaiʻi,251.02
1990,Idaho,271.45
1990,Illinois,260.55
1990,Indiana,267.27
1990,Iowa,277.97
1990,Kentucky,257.1
1990,Louisiana,246.44
1990,Maryland,260.77
1990,Michigan,264.4
1990,Minnesota,275.39
1990,Montana,280.5
1990,Nebraska,275.67
1990,New Hampshire,273.15
1990,New Jersey,269.66
1990,New Mexico,256.42
1990,New York,260.8
1990,North Carolina,250.35
1990,North Dakota,281.1
1990,Ohio,263.97
1990,Oklahoma,263.18
1990,Oregon,271.36
1990,Pennsylvania,266.36
1990,Rhode Island,260.04
1990,Texas,258.19
1990,Virginia,264.27
1990,West Virginia,255.9
1990,Wisconsin,274.49
1990,Wyoming,272.15
1992,Alabama,252.19
1992,Arizona,265.37
1992,Arkansas,256.31
1992,California,260.89
1992,Colorado,272.4
1992,Connecticut,273.74
1992,Delaware,262.87
1992,Florida,259.91
1992,Georgia,259.36
1992,Hawaiʻi,257.41
1992,Idaho,275.09
1992,Indiana,270.1
1992,Iowa,283.36
1992,Kentucky,262.24
1992,Louisiana,249.98
1992,Maine,278.64
1992,Maryland,264.83
1992,Massachusetts,272.78
1992,Michigan,267.35
1992,Minnesota,282.39
1992,Mississippi,246.46
1992,Missouri,271.13
1992,Nebraska,277.65
1992,New Hampshire,278.22
1992,New Jersey,271.91
1992,New Mexico,259.61
1992,New York,266.42
1992,North Carolina,258.41
1992,North Dakota,283.21
1992,Ohio,268.12
1992,Oklahoma,268.13
1992,Pennsylvania,271.38
1992,Rhode Island,265.91
1992,South Carolina,260.77
1992,Tennessee,258.83
1992,Texas,264.59
1992,Utah,274.34
1992,Virginia,267.86
1992,West Virginia,259.09
1992,Wisconsin,277.88
1992,Wyoming,275.08
1996,Alabama,256.59
1996,Alaska,277.64
1996,Arizona,267.87
1996,Arkansas,261.65
1996,California,262.77
1996,Colorado,275.61
1996,Connecticut,279.59
1996,Delaware,266.73
1996,Florida,263.64
1996,Georgia,262.47
1996,Hawaiʻi,262.13
1996,Indiana,275.53
1996,Iowa,283.99
1996,Kentucky,266.59
1996,Louisiana,252.38
1996,Maine,284.06
1996,Maryland,269.68
1996,Massachusetts,277.57
1996,Michigan,276.87
1996,Minnesota,284.05
1996,Mississippi,250.22
1996,Missouri,273.28
1996,Montana,283
1996,Nebraska,282.77
1996,New Mexico,261.97
1996,New York,270.23
