year,state,value
1998,Alabama,255.23
1998,Arizona,260.8
1998,Arkansas,255.73
1998,California,253.21
1998,Colorado,263.54
1998,Connecticut,271.57
1998,Delaware,255.88
1998,Florida,253.33
1998,Georgia,257.07
1998,Hawaiʻi,249.69
1998,Kansas,267.79
1998,Kentucky,262.06
1998,Louisiana,251.89
1998,Maine,272.65
1998,Maryland,262.1
1998,Massachusetts,268.87
1998,Minnesota,267.22
1998,Mississippi,250.58
1998,Missouri,262.9
1998,Montana,270.21
1998,Nevada,256.84
1998,New Mexico,257.53
1998,New York,266.31
1998,North Carolina,263.59
1998,Oklahoma,265.36
1998,Oregon,265.81
1998,Rhode Island,262.33
1998,South Carolina,254.52
1998,Tennessee,258.86
1998,Texas,262.17
1998,Utah,264.62
1998,Virginia,266.42
1998,Washington,264.71
1998,West Virginia,261.58
1998,Wisconsin,265.98
1998,Wyoming,262.12
2002,Alabama,252.5
2002,Arizona,256.73
2002,Arkansas,260.13
2002,California,250.45
2002,Connecticut,267.03
2002,Delaware,267.27
2002,Florida,261.05
2002,Georgia,258.01
2002,Hawaiʻi,251.61
2002,Idaho,266.5
2002,Indiana,264.89
2002,Kansas,269.12
2002,Kentucky,265.25
2002,Louisiana,256.27
2002,Maine,269.82
2002,Maryland,263.34
2002,Massachusetts,270.52
2002,Michigan,264.72
2002,Mississippi,255.02
2002,Missouri,267.91
2002,Montana,270.17
2002,Nebraska,269.95
2002,Nevada,251.36
2002,New Mexico,253.66
2002,New York,263.95
2002,North Carolina,265.02
2002,North Dakota,268.09
2002,Ohio,268.32
2002,Oklahoma,262.01
2002,Oregon,268.14
2002,Pennsylvania,265.32
2002,Rhode Island,261.9
2002,South Carolina,257.64
2002,Tennessee,260.28
2002,Texas,262.1
2002,Utah,263.28
2002,Vermont,271.83
2002,Virginia,269.2
2002,Washington,268.17
2002,West Virginia,263.69
2002,Wyoming,264.94
2003,Alabama,253.17
2003,Alaska,256.41
2003,Arizona,255.32
2003,Arkansas,258
2003,California,251.01
2003,Colorado,267.59
2003,Connecticut,267.22
2003,Delaware,264.53
2003,Florida,257.3
2003,Georgia,257.71
