year,state,value
2001,Alabama,-1
2001,Alaska,-6.8
2001,Arizona,17.2
2001,Arkansas,2.4
2001,California,-3.1
2001,Colorado,8.5
2001,Connecticut,-2.8
2001,Delaware,5.1
2001,Florida,10.9
2001,Georgia,10.2
2001,Hawaiʻi,0.9
2001,Idaho,5
2001,Illinois,-3.5
2001,Indiana,1.2
2001,Iowa,-1.5
2001,Kansas,-0.6
2001,Kentucky,2.3
2001,Louisiana,-1.8
2001,Maine,3.8
2001,Maryland,1.9
2001,Massachusetts,-3
2001,Michigan,-0.5
2001,Minnesota,1.5
2001,Mississippi,-0.9
2001,Missouri,0.7
2001,Montana,2.1
2001,Nebraska,-1
2001,Nevada,25.1
2001,New Hampshire,5.4
2001,New Jersey,-3.7
2001,New Mexico,3.6
2001,New York,-7.2
2001,North Carolina,8.6
2001,North Dakota,-3.4
2001,Ohio,-1.1
2001,Oklahoma,-0.3
2001,Oregon,5.1
2001,Pennsylvania,-0.8
2001,Rhode Island,-0.1
2001,South Carolina,5.9
2001,South Dakota,-0.1
2001,Tennessee,5.9
2001,Texas,2.1
2001,Utah,2.7
2001,Vermont,4.2
2001,Virginia,3.1
2001,Washington,3.3
2001,West Virginia,-1.6
2001,Wisconsin,0.8
2001,Wyoming,0.4
2002,Alabama,-0.3
2002,Alaska,-6.2
2002,Arizona,16.2
2002,Arkansas,2.7
2002,California,-4.8
2002,Colorado,4
2002,Connecticut,-3.5
2002,Delaware,4.7
2002,Florida,10
2002,Georgia,9.3
2002,Hawaiʻi,1.5
2002,Idaho,4.6
2002,Illinois,-4.1
2002,Indiana,0.7
2002,Iowa,-1.8
2002,Kansas,-1.4
2002,Kentucky,2
2002,Louisiana,-2
2002,Maine,3.8
2002,Maryland,1.2
2002,Massachusetts,-4.2
2002,Michigan,-1.3
2002,Minnesota,0.6
2002,Mississippi,-0.6
2002,Missouri,0.1
2002,Montana,2.6
2002,Nebraska,-1.3
2002,Nevada,22.5
2002,New Hampshire,4.3
2002,New Jersey,-4.6
2002,New Mexico,3.3
2002,New York,-7.5
2002,North Carolina,7.9
2002,North Dakota,-3.9
2002,Ohio,-1.5
2002,Oklahoma,-0.9
2002,Oregon,3.2
2002,Pennsylvania,-1.3
2002,Rhode Island,-1.1
2002,South Carolina,6
2002,South Dakota,-0.3
2002,Tennessee,5.6
2002,Texas,1.1
2002,Utah,1.6
2002,Vermont,3.9
2002,Virginia,2.8
2002,Washington,1.4
2002,West Virginia,-1.3
2002,Wisconsin,0.3
2002,Wyoming,1.2
2003,Alabama,10
2003,Alaska,-4.9
2003,Arizona,108.3
2003,Arkansas,19.1
2003,California,-26.7
2003,Colorado,-23.2
2003,Connecticut,-3.5
2003,Delaware,69.4
2003,Florida,102.1
2003,Georgia,36.2
2003,Hawaiʻi,16.7
2003,Idaho,72.8
2003,Illinois,-58.8
2003,Indiana,1.6
2003,Iowa,-18.7
2003,Kansas,-35
2003,Kentucky,20.7
2003,Louisiana,-23.3
2003,Maine,75.1
2003,Maryland,14.9
2003,Massachusetts,-70.3
2003,Michigan,-25.4
2003,Minnesota,-15.1
2003,Mississippi,-9
2003,Missouri,13.7
2003,Montana,54.1
2003,Nebraska,-7.5
2003,Nevada,190.6
2003,New Hampshire,50.2
2003,New Jersey,-38.5
2003,New Mexico,26.7
2003,New York,-88.7
2003,North Carolina,29.3
2003,North Dakota,-31.8
2003,Ohio,-24
