year,county,value
2000,Hawaiʻi,0.9
2000,Honolulu,0.2
2000,Kauaʻi,2.4
2000,Maui,2.3
2001,Hawaiʻi,2.3
2001,Honolulu,0.5
2001,Kauaʻi,3
2001,Maui,2.8
2002,Hawaiʻi,1
2002,Honolulu,0.4
2002,Kauaʻi,3.1
2002,Maui,2
2003,Hawaiʻi,1.1
2003,Honolulu,1.4
2003,Kauaʻi,2.1
2003,Maui,1.3
2004,Hawaiʻi,1.9
2004,Honolulu,1.6
2004,Kauaʻi,2.1
2004,Maui,3.5
2005,Hawaiʻi,4.3
2005,Honolulu,1.6
2005,Kauaʻi,2.9
2005,Maui,2.7
2006,Hawaiʻi,5.8
2006,Honolulu,2.7
2006,Kauaʻi,5.8
2006,Maui,4
2007,Hawaiʻi,0.8
2007,Honolulu,0.4
2007,Kauaʻi,0.6
2007,Maui,1.5
2008,Hawaiʻi,-1
2008,Honolulu,-0.6
2008,Kauaʻi,-2.1
2008,Maui,-1
2009,Hawaiʻi,-2.3
2009,Honolulu,-1.1
2009,Kauaʻi,-1.9
2009,Maui,-2.9
2010,Hawaiʻi,-2.4
2010,Honolulu,-1.4
2010,Kauaʻi,-0.1
2010,Maui,-2.8
2011,Hawaiʻi,-1.3
2011,Honolulu,-1
2011,Kauaʻi,-0.2
2011,Maui,-1
2012,Hawaiʻi,-2.1
2012,Honolulu,-0.9
2012,Kauaʻi,0.3
2012,Maui,0.6
2013,Hawaiʻi,-0.4
2013,Honolulu,0.1
2013,Kauaʻi,1.3
2013,Maui,1.2
2014,Hawaiʻi,1.7
2014,Honolulu,0.1
2014,Kauaʻi,0.8
2014,Maui,2.1
2015,Hawaiʻi,1.3
2015,Honolulu,-0.2
2015,Kauaʻi,0.8
2015,Maui,1.8
2016,Hawaiʻi,0.7
2016,Honolulu,1
2016,Kauaʻi,3.6
2016,Maui,2.2
2017,Hawaiʻi,0.5
2017,Honolulu,0.2
2017,Kauaʻi,1.5
2017,Maui,1.3
2018,Hawaiʻi,1.7
2018,Honolulu,0
2018,Kauaʻi,1.5
2018,Maui,1.4
2019,Hawaiʻi,0.8
2019,Honolulu,0.4
2019,Kauaʻi,1.9
2019,Maui,1.7
2020,Hawaiʻi,0.5
2020,Honolulu,-1.4
2020,Kauaʻi,-1.5
2020,Maui,-0.6
2021,Hawaiʻi,-2
2021,Honolulu,-3.8
2021,Kauaʻi,-5.4
2021,Maui,-4.1
2022,Hawaiʻi,3.5
2022,Honolulu,1.4
2022,Kauaʻi,7.2
2022,Maui,5.7
2023,Hawaiʻi,1.3
2023,Honolulu,-0.1
2023,Kauaʻi,1.6
2023,Maui,1.1
