year,state,value
1978,Alabama,4.308
1978,Alaska,8.064
1978,Arizona,7.566
1978,Arkansas,4.51
1978,California,6.107
1978,Colorado,7.272
1978,Connecticut,3.431
1978,Delaware,2.646
1978,Florida,5.78
1978,Georgia,4.016
1978,Hawaiʻi,5.365
1978,Idaho,6.831
1978,Illinois,2.491
1978,Indiana,3.032
1978,Iowa,3.094
1978,Kansas,3.327
1978,Kentucky,3.184
1978,Louisiana,4.287
1978,Maine,4.557
1978,Maryland,3.027
1978,Massachusetts,2.296
1978,Michigan,3.319
1978,Minnesota,4.323
1978,Mississippi,3.476
1978,Missouri,3
1978,Montana,5.583
1978,Nebraska,2.621
1978,Nevada,9.238
1978,New Hampshire,6.003
1978,New Jersey,2.64
1978,New Mexico,5.983
1978,New York,0.912
1978,North Carolina,4.159
1978,North Dakota,3.774
1978,Ohio,2.721
1978,Oklahoma,3.872
1978,Oregon,7.453
1978,Pennsylvania,2.069
1978,Rhode Island,2.635
1978,South Carolina,4.79
1978,South Dakota,3.94
1978,Tennessee,3.461
1978,Texas,5.572
1978,Utah,7.535
1978,Vermont,6.33
1978,Virginia,4.477
1978,Washington,7.536
1978,West Virginia,1.869
1978,Wisconsin,4.269
1978,Wyoming,8.13
1979,Alabama,2.699
1979,Alaska,2.141
1979,Arizona,4.863
1979,Arkansas,2.121
1979,California,5.252
1979,Colorado,4.176
1979,Connecticut,3.28
1979,Delaware,3.566
1979,Florida,5.53
1979,Georgia,3.441
1979,Hawaiʻi,6.024
1979,Idaho,1.838
1979,Illinois,1.671
1979,Indiana,2.596
1979,Iowa,1.472
1979,Kansas,2.528
1979,Kentucky,3.236
1979,Louisiana,4.722
1979,Maine,2.844
1979,Maryland,3.404
1979,Massachusetts,2.175
1979,Michigan,2.583
1979,Minnesota,3.49
1979,Mississippi,3.141
1979,Missouri,2.726
1979,Montana,2.974
1979,Nebraska,2.744
1979,Nevada,7.165
1979,New Hampshire,4.391
1979,New Jersey,3.181
1979,New Mexico,2.788
1979,New York,1.265
1979,North Carolina,3.754
1979,North Dakota,4.311
1979,Ohio,2.344
1979,Oklahoma,3.968
1979,Oregon,4.244
1979,Pennsylvania,2.452
1979,Rhode Island,2.943
1979,South Carolina,2.798
1979,South Dakota,3.91
1979,Tennessee,3.027
1979,Texas,4.674
1979,Utah,2.648
1979,Vermont,4.109
1979,Virginia,3.795
1979,Washington,4.687
1979,West Virginia,3.48
1979,Wisconsin,3.15
1979,Wyoming,5.039
1980,Alabama,-0.317
1980,Alaska,0.162
1980,Arizona,4.51
1980,Arkansas,0.147
1980,California,3.123
1980,Colorado,3.077
1980,Connecticut,1.582
1980,Delaware,0.175
1980,Florida,4.597
1980,Georgia,1.362
1980,Hawaiʻi,4.775
1980,Idaho,0.435
1980,Illinois,0.345
1980,Indiana,0.23
1980,Iowa,0.204
1980,Kansas,0.518
1980,Kentucky,0.024
1980,Louisiana,1.693
1980,Maine,-0.111
1980,Maryland,1.611
1980,Massachusetts,1.191
1980,Michigan,0.41
1980,Minnesota,1.346
1980,Mississippi,1.206
1980,Missouri,0.083
1980,Montana,0.025
1980,Nebraska,0.25
1980,Nevada,4.275
1980,New Hampshire,0.715
1980,New Jersey,1.597
1980,New Mexico,0.926
1980,New York,0.169
1980,North Carolina,0.917
1980,North Dakota,1.281
1980,Ohio,0.272
