year,state,value
2010,Alabama,62
2010,Alaska,87
2010,Arizona,64
2010,Arkansas,63.2
2010,California,75.7
2010,Colorado,79.1
2010,Delaware,72.3
2010,Florida,70.7
2010,Georgia,63.4
2010,Hawaii,89.2
2010,Idaho,59.1
2010,Illinois,78.4
2010,Indiana,65.2
2010,Iowa,72.8
2010,Kansas,72.3
2010,Kentucky,64.5
2010,Louisiana,63.7
2010,Maine,106.2
2010,Maryland,88.2
2010,Massachusetts,102.4
2010,Michigan,79.6
2010,Minnesota,88.7
2010,Mississippi,53.3
2010,Missouri,68.2
2010,Montana,74.9
2010,Nebraska,71.9
2010,Nevada,57.1
2010,New Hampshire,91.7
2010,New Jersey,85.8
2010,New Mexico,72.2
2010,New York,82.9
2010,North Carolina,69.1
2010,North Dakota,78.7
2010,Ohio,75.4
2010,Oklahoma,63.2
2010,Oregon,89.1
2010,Pennsylvania,79.9
2010,Rhode Island,90.9
2010,South Carolina,66.2
2010,South Dakota,76.5
2010,Tennessee,72.1
2010,Texas,57.7
2010,Utah,56.2
2010,Vermont,108.5
2010,Virginia,75.9
2010,Washington,83.1
2010,West Virginia,77.7
2010,Wisconsin,81.3
2010,Wyoming,66.5
2011,Alabama,63.2
2011,Alaska,87.3
2011,Arizona,64.9
2011,Arkansas,64.2
2011,California,76.6
2011,Colorado,79.9
2011,Delaware,72.5
2011,Florida,71.1
2011,Georgia,63.9
2011,Hawaii,88.3
2011,Idaho,60.2
2011,Illinois,79.9
2011,Indiana,66
2011,Iowa,73.2
2011,Kansas,74
2011,Kentucky,65.4
2011,Louisiana,64.9
2011,Maine,108.1
2011,Maryland,89.3
2011,Massachusetts,103.3
2011,Michigan,79.8
2011,Minnesota,90.5
2011,Mississippi,53.8
2011,Missouri,70
2011,Montana,75.5
2011,Nebraska,72.3
2011,Nevada,58.3
2011,New Hampshire,92.8
2011,New Jersey,86.1
2011,New Mexico,75.2
2011,New York,83.1
2011,North Carolina,69.8
2011,North Dakota,77.2
2011,Ohio,76.3
2011,Oklahoma,64.1
2011,Oregon,90.7
2011,Pennsylvania,81.7
2011,Rhode Island,93.7
2011,South Carolina,66.7
2011,South Dakota,76.9
2011,Tennessee,73.4
2011,Texas,58.5
2011,Utah,56.1
2011,Vermont,109.1
2011,Virginia,76.2
2011,Washington,83.7
2011,West Virginia,77.8
2011,Wisconsin,82.2
2011,Wyoming,68.9
2012,Alabama,63.9
2012,Alaska,86.7
2012,Arizona,66.4
2012,Arkansas,65.2
2012,California,78.4
2012,Colorado,80.6
2012,Delaware,70.6
2012,Florida,71.3
2012,Georgia,65
2012,Hawaii,87.1
2012,Idaho,62.6
2012,Illinois,80.1
2012,Indiana,66.9
2012,Iowa,73.8
2012,Kansas,75.5
2012,Kentucky,65.7
2012,Louisiana,65.8
2012,Maine,108.1
2012,Maryland,89.9
2012,Massachusetts,103.7
2012,Michigan,81.1
2012,Minnesota,90.8
2012,Mississippi,53.8
2012,Missouri,70.8
2012,Montana,77.8
2012,Nebraska,72.3
2012,Nevada,57.1
2012,New Hampshire,93.6
2012,New Jersey,86.6
2012,New Mexico,74.9
2012,New York,83.6
2012,North Carolina,70.5
2012,North Dakota,79.6
2012,Ohio,75.9
2012,Oklahoma,65.2
2012,Oregon,91.4
2012,Pennsylvania,81.3
2012,Rhode Island,95
2012,South Carolina,67.2
2012,South Dakota,78.3
2012,Tennessee,73.3
2012,Texas,59.6
2012,Utah,57.1
2012,Vermont,109.5
2012,Virginia,76.4
2012,Washington,84.4
2012,West Virginia,78.1
2012,Wisconsin,83.4
2012,Wyoming,68
2013,Alabama,64.9
2013,Alaska,86.7
2013,Arizona,67.5
2013,Arkansas,66
2013,California,79.5
2013,Colorado,82.7
2013,Delaware,73.4
2013,Florida,73.2
2013,Georgia,66.5
2013,Hawaii,90.2
2013,Idaho,64.1
2013,Illinois,82.1
2013,Indiana,68.1
2013,Iowa,75.1
2013,Kansas,76.9
2013,Kentucky,67.9
2013,Louisiana,66
2013,Maine,111.1
2013,Maryland,90.8
2013,Massachusetts,107
2013,Michigan,81.4
2013,Minnesota,92.2
2013,Mississippi,54.9
2013,Missouri,72
2013,Montana,77.5
2013,Nebraska,75
2013,Nevada,57.8
2013,New Hampshire,95.2
2013,New Jersey,86.7
2013,New Mexico,77.4
2013,New York,84.4
2013,North Carolina,72.3
2013,North Dakota,80.8
2013,Ohio,78.3
2013,Oklahoma,65.4
2013,Oregon,94.2
2013,Pennsylvania,83.3
2013,Rhode Island,96.6
2013,South Carolina,68.3
2013,South Dakota,77.9
2013,Tennessee,73.9
2013,Texas,60.6
2013,Utah,57.9
2013,Vermont,114.4
2013,Virginia,77.1
2013,Washington,85.7
2013,West Virginia,79.2
2013,Wisconsin,83
2013,Wyoming,67.7
2014,Alabama,65.6
2014,Alaska,89.6
2014,Arizona,67.2
2014,Arkansas,66.5
2014,California,79.3
2014,Colorado,82.3
2014,Delaware,73.6
2014,Florida,73.6
2014,Georgia,66.9
2014,Hawaii,89.9
2014,Idaho,65.1
2014,Illinois,81.5
2014,Indiana,68.2
2014,Iowa,75.2
2014,Kansas,76.7
2014,Kentucky,68.2
2014,Louisiana,66.3
2014,Maine,111.7
2014,Maryland,90.3
2014,Massachusetts,106.3
2014,Michigan,81.2
2014,Minnesota,91.6
2014,Mississippi,54
2014,Missouri,71.9
2014,Montana,77.5
2014,Nebraska,76.1
2014,Nevada,58
2014,New Hampshire,95.2
2014,New Jersey,86.5
2014,New Mexico,77.4
2014,New York,84.6
2014,North Carolina,72.4
2014,North Dakota,79.7
2014,Ohio,78.1
2014,Oklahoma,65.6
2014,Oregon,94.6
2014,Pennsylvania,82.7
2014,Rhode Island,97.7
2014,South Carolina,68.6
2014,South Dakota,76.8
2014,Tennessee,73.6
2014,Texas,60.9
2014,Utah,58
2014,Vermont,112.9
2014,Virginia,78
2014,Washington,85.3
2014,West Virginia,78.8
2014,Wisconsin,81.6
2014,Wyoming,69.6
2015,Alabama,66.3
2015,Alaska,91.6
2015,Arizona,67
2015,Arkansas,66.9
2015,California,79.3
2015,Colorado,81.9
2015,Delaware,72.5
2015,Florida,73.8
2015,Georgia,67.2
2015,Hawaii,91.2
2015,Idaho,65.3
2015,Illinois,81.9
2015,Indiana,67.5
2015,Iowa,74.4
2015,Kansas,77.5
2015,Kentucky,67.7
2015,Louisiana,67
2015,Maine,112.4
2015,Maryland,89.6
2015,Massachusetts,106.2
2015,Michigan,80.7
2015,Minnesota,91.1
2015,Mississippi,54.4
2015,Missouri,72
2015,Montana,77.7
2015,Nebraska,76
2015,Nevada,57.5
2015,New Hampshire,92.2
2015,New Jersey,85.7
2015,New Mexico,77
2015,New York,84.4
2015,North Carolina,71.9
2015,North Dakota,76.7
2015,Ohio,77.7
2015,Oklahoma,64.4
2015,Oregon,94.5
2015,Pennsylvania,82.6
2015,Rhode Island,97.3
2015,South Carolina,68.7
2015,South Dakota,79
2015,Tennessee,73.6
2015,Texas,61.1
2015,Utah,58
2015,Vermont,113.5
2015,Virginia,78.2
2015,Washington,84.5
2015,West Virginia,79.9
2015,Wisconsin,81.3
2015,Wyoming,67.8
2016,Alabama,66.5
2016,Alaska,92.8
2016,Arizona,66.1
2016,Arkansas,67.7
2016,California,79.5
2016,Colorado,82.4
2016,Connecticut,85.9
2016,Delaware,72.5
2016,Florida,73.2
2016,Georgia,66.9
2016,Hawaii,91.5
2016,Idaho,65.4
2016,Illinois,82.3
2016,Indiana,67.9
2016,Iowa,72.9
2016,Kansas,77.7
2016,Kentucky,67
2016,Louisiana,68
2016,Maine,113.5
2016,Maryland,89.2
