year,state,value
1960,Alabama,1035.4
1960,Alaska,1544.9
1960,Arizona,2806
1960,Arkansas,926.4
1960,California,3235.4
1960,Colorado,2035.1
1960,Connecticut,1119.9
1960,Delaware,2076.4
1960,Florida,2481.2
1960,Georgia,1249.1
1960,Hawaiʻi,2276.5
1960,Idaho,1732.8
1960,Illinois,1976.8
1960,Indiana,1469.1
1960,Iowa,1100.1
1960,Kansas,1336.6
1960,Kentucky,1115.4
1960,Louisiana,1342
1960,Maine,1158.4
1960,Maryland,1518.8
1960,Massachusetts,1170.3
1960,Michigan,2441.5
1960,Minnesota,1424
1960,Mississippi,602
1960,Missouri,1799.7
1960,Montana,1985.4
1960,Nebraska,1177.8
1960,Nevada,3294.7
1960,New Hampshire,676.4
1960,New Jersey,1376.5
1960,New Mexico,2243.6
1960,North Carolina,956
1960,North Dakota,876.8
1960,Ohio,1475.2
1960,Oklahoma,1918.4
1960,Oregon,1907.5
1960,Pennsylvania,950.5
1960,Rhode Island,2035.6
1960,South Carolina,1356.5
1960,South Dakota,1122.5
1960,Tennessee,1149.4
1960,Texas,2056.2
1960,Utah,2487
1960,Vermont,815.9
1960,Virginia,1469.2
1960,Washington,2175.5
1960,West Virginia,656.2
1960,Wisconsin,1113.7
1960,Wyoming,1814.5
1961,Alabama,985.5
1961,Alaska,1540.6
1961,Arizona,2969.4
1961,Arkansas,936.9
1961,California,3177.5
1961,Colorado,2254.7
1961,Connecticut,1211.1
1961,Delaware,2040
1961,Florida,2243.3
1961,Georgia,1340.5
1961,Hawaiʻi,2497.7
1961,Idaho,1829.8
1961,Illinois,2082.3
1961,Indiana,1546.8
1961,Iowa,1057.6
1961,Kansas,1363.6
1961,Kentucky,1105.4
1961,Louisiana,1120.7
1961,Maine,1081.1
1961,Maryland,1634.4
1961,Massachusetts,1409.7
1961,Michigan,2484.7
1961,Minnesota,1408.2
1961,Mississippi,629.4
1961,Missouri,1885.9
1961,Montana,1954.1
1961,Nebraska,1240.8
1961,Nevada,3436.8
1961,New Hampshire,791
1961,New Jersey,1431.4
1961,New Mexico,2062.4
1961,North Carolina,989.5
1961,North Dakota,868.3
1961,Ohio,1502.7
1961,Oklahoma,1847.1
1961,Oregon,1932.1
1961,Pennsylvania,949.6
1961,Rhode Island,1833.3
1961,South Carolina,1448.2
1961,South Dakota,1103.2
1961,Tennessee,1160.9
1961,Texas,1970.5
1961,Utah,2047.9
1961,Vermont,796.7
1961,Virginia,1584
1961,Washington,2173.2
1961,West Virginia,599.2
1961,Wisconsin,1160.3
1961,Wyoming,1881.1
1962,Alabama,1067
1962,Alaska,1564.6
1962,Arizona,3028.1
1962,Arkansas,998.3
1962,California,3326.2
1962,Colorado,2510.3
1962,Connecticut,1301.4
1962,Delaware,2165.7
1962,Florida,2345.3
1962,Georgia,1394.1
1962,Hawaiʻi,2509.5
1962,Idaho,1895
