year,state,value
2000,Alabama,0.00048
2000,Alaska,1.20891
2000,Arizona,0.06783
2000,Arkansas,0
2000,California,0.13032
2000,Colorado,0.09736
2000,Connecticut,0.05168
2000,Delaware,0.05076
2000,Florida,0.0898
2000,Georgia,0.04
2000,Hawaiʻi,0.00181
2000,Idaho,0.02142
2000,Illinois,0
2000,Indiana,0.06021
2000,Iowa,0.09318
2000,Kansas,0
2000,Kentucky,0.04254
2000,Louisiana,0.01015
2000,Maine,0.06202
2000,Maryland,0.06451
2000,Massachusetts,0.07719
2000,Michigan,0.13204
2000,Minnesota,0.12022
2000,Mississippi,0.06598
2000,Missouri,0.03992
2000,Montana,0
2000,Nebraska,0.06066
2000,Nevada,0.0848
2000,New Hampshire,0.01946
2000,New Jersey,0.03588
2000,New Mexico,0
2000,New York,0.01472
2000,North Carolina,0.00271
2000,North Dakota,0
2000,Ohio,0.0521
2000,Oklahoma,0.03467
2000,Oregon,0
2000,Pennsylvania,0.05687
2000,Rhode Island,0.03196
2000,South Carolina,0.0282
2000,South Dakota,0.0475
2000,Tennessee,0.02504
2000,Texas,0.00308
2000,Utah,0.03261
2000,Vermont,0.04844
2000,Virginia,0.05093
2000,Washington,0.07378
2000,West Virginia,0.02774
2000,Wisconsin,0
2000,Wyoming,0.07471
2001,Alabama,0.00144
2001,Alaska,1.31738
2001,Arizona,0.06145
2001,Arkansas,0
2001,California,0.02004
2001,Colorado,0
2001,Connecticut,0.04975
2001,Delaware,0.05187
2001,Florida,0.04455
2001,Georgia,0.04773
2001,Hawaiʻi,0.0063
2001,Idaho,0.02909
2001,Illinois,0.00918
2001,Indiana,0.05653
2001,Iowa,0.08306
2001,Kansas,0
2001,Kentucky,0.03406
2001,Louisiana,0.03132
2001,Maine,0.05433
2001,Maryland,0.0868
2001,Massachusetts,0.10362
2001,Michigan,0.10229
2001,Minnesota,0.12393
2001,Mississippi,0.05241
2001,Missouri,0.05847
2001,Montana,0
2001,Nebraska,0.06869
2001,Nevada,0.07414
2001,New Hampshire,0.05193
2001,New Jersey,0.0346
2001,New Mexico,0
2001,New York,0.01579
2001,North Carolina,0.01171
2001,North Dakota,0.04866
2001,Ohio,0.0478
2001,Oklahoma,0.07058
2001,Oregon,0
2001,Pennsylvania,0.05673
2001,Rhode Island,0.0321
2001,South Carolina,0.01096
2001,South Dakota,0.13778
2001,Tennessee,0.02537
2001,Texas,0.00678
2001,Utah,0.03193
2001,Vermont,0.04882
2001,Virginia,0.05729
2001,Washington,0.04268
2001,West Virginia,0.02922
2001,Wisconsin,0
2001,Wyoming,0.08974
2002,Alabama,0.04901
2002,Alaska,0.88382
2002,Arizona,0.01025
2002,Arkansas,0
2002,California,0
2002,Colorado,0
2002,Connecticut,0
2002,Delaware,0.05216
2002,Florida,0.0491
2002,Georgia,0.04981
2002,Hawaiʻi,0.01368
2002,Idaho,0.02677
2002,Illinois,0.00994
2002,Indiana,0.02763
2002,Iowa,0.03616
2002,Kansas,0
2002,Kentucky,0
2002,Louisiana,0.041
2002,Maine,0.0078
2002,Maryland,0.05006
2002,Massachusetts,0.03868
2002,Michigan,0.01589
2002,Minnesota,0
2002,Mississippi,0.03102
2002,Missouri,0.06148
2002,Montana,0
2002,Nebraska,0.04233
2002,Nevada,0.07198
2002,New Hampshire,0
2002,New Jersey,0
2002,New Mexico,0
2002,New York,0.01722
2002,North Carolina,0
2002,North Dakota,0.029
2002,Ohio,0.01979
2002,Oklahoma,0.01435
2002,Oregon,0
2002,Pennsylvania,0
2002,Rhode Island,0.03094
2002,South Carolina,0
2002,South Dakota,0.1365
2002,Tennessee,0.02368
2002,Texas,0.03024
2002,Utah,0.00536
2002,Vermont,0.01491
2002,Virginia,0.03923
2002,Washington,0.01034
2002,West Virginia,0.01988
2002,Wisconsin,0
2002,Wyoming,0.09002
2003,Alabama,0.01243
2003,Alaska,0.83844
2003,Arizona,0.00229
2003,Arkansas,0
2003,California,0
2003,Colorado,0
2003,Connecticut,0
2003,Delaware,0.05257
2003,Florida,0.04674
2003,Georgia,0.01153
2003,Hawaiʻi,0
2003,Idaho,0
2003,Illinois,0.01031
2003,Indiana,0.02702
2003,Iowa,0
2003,Kansas,0
2003,Kentucky,0.00071
2003,Louisiana,0
2003,Maine,0
2003,Maryland,0.04738
2003,Massachusetts,0.02858
2003,Michigan,0
2003,Minnesota,0.00746
2003,Mississippi,0.00654
2003,Missouri,0.07245
2003,Montana,0
2003,Nebraska,0.02257
2003,Nevada,0.00064
2003,New Hampshire,0.01373
2003,New Jersey,0
2003,New Mexico,0
2003,New York,0.01888
2003,North Carolina,0.01083
2003,North Dakota,0.00698
2003,Ohio,0.00798
2003,Oklahoma,2e-05
2003,Oregon,0
2003,Pennsylvania,0.00343
2003,Rhode Island,0.03107
2003,South Carolina,0
2003,South Dakota,0.1205
2003,Tennessee,0.02249
2003,Texas,0.01828
2003,Utah,0.00752
2003,Vermont,0.02657
2003,Virginia,0.02042
2003,Washington,0
2003,West Virginia,0.01971
2003,Wisconsin,0
2003,Wyoming,0.31337
2004,Alabama,0.01897
2004,Alaska,0.92928
2004,Arizona,0.00207
2004,Arkansas,0
2004,California,0
2004,Colorado,0.02141
2004,Connecticut,0.02385
2004,Delaware,0.05345
2004,Florida,0.0451
2004,Georgia,0.00324
2004,Hawaiʻi,0.01406
2004,Idaho,0
2004,Illinois,0.01177
2004,Indiana,0.02154
2004,Iowa,0.03608
2004,Kansas,0
2004,Kentucky,0.00696
2004,Louisiana,0.0354
2004,Maine,0.01249
2004,Maryland,0.04845
2004,Massachusetts,0.04978
2004,Michigan,0.00936
2004,Minnesota,0.07375
2004,Mississippi,0.01142
2004,Missouri,0.06668
2004,Montana,0
2004,Nebraska,0.03378
2004,Nevada,0.03014
2004,New Hampshire,0.01335
2004,New Jersey,0.01159
2004,New Mexico,0.10114
2004,New York,0.01888
2004,North Carolina,0.01816
2004,North Dakota,0
2004,Ohio,0.00758
2004,Oklahoma,0.04467
2004,Oregon,0
2004,Pennsylvania,0.01189
2004,Rhode Island,0.03092
2004,South Carolina,0.00518
2004,South Dakota,0.17769
2004,Tennessee,0.02654
2004,Texas,0.01244
2004,Utah,0.01872
2004,Vermont,0.04861
2004,Virginia,0.02745
2004,Washington,0
2004,West Virginia,0.01776
2004,Wisconsin,0
2004,Wyoming,0.54525
2005,Alabama,0.02594
2005,Alaska,0.74449
2005,Arizona,0.02131
2005,Arkansas,0
2005,California,0.11418
2005,Colorado,0
2005,Connecticut,0.04862
2005,Delaware,0.05251
2005,Florida,0.04043
2005,Georgia,0.01572
2005,Hawaiʻi,0.01293
2005,Idaho,0.00758
2005,Illinois,0.01244
2005,Indiana,0.02682
2005,Iowa,0.04901
2005,Kansas,0
2005,Kentucky,0.00374
2005,Louisiana,0.06479
2005,Maine,0.01688
2005,Maryland,0.04629
2005,Massachusetts,0.09058
2005,Michigan,0.00022
2005,Minnesota,0.09221
2005,Mississippi,0.00541
2005,Missouri,0.06506
2005,Montana,0
2005,Nebraska,0.06514
2005,Nevada,0.0502
2005,New Hampshire,0.01306
2005,New Jersey,0.01037
2005,New Mexico,0.14558
2005,New York,0.01999
2005,North Carolina,0.01979
2005,North Dakota,0.11062
2005,Ohio,0.02315
2005,Oklahoma,0.0933
2005,Oregon,0
2005,Pennsylvania,0.01427
2005,Rhode Island,0.03106
2005,South Carolina,0.01482
2005,South Dakota,0.13578
2005,Tennessee,0.03022
2005,Texas,0.00023
2005,Utah,0.03673
2005,Vermont,0.04411
2005,Virginia,0.03475
2005,Washington,0
2005,West Virginia,0.02325
2005,Wisconsin,0
2005,Wyoming,0.34334
2006,Alabama,0.06015
2006,Alaska,0.69817
2006,Arizona,0.05721
2006,Arkansas,0
2006,California,0.10996
2006,Colorado,0
2006,Connecticut,0.07645
2006,Delaware,0.05065
2006,Florida,0.0411
2006,Georgia,0.04454
2006,Hawaiʻi,0.01143
2006,Idaho,0.04897
2006,Illinois,0.01141
2006,Indiana,0.02745
2006,Iowa,0.07804
2006,Kansas,0
2006,Kentucky,0.01411
2006,Louisiana,0.08801
2006,Maine,0.02782
2006,Maryland,0.06148
2006,Massachusetts,0.10575
2006,Michigan,0.00023
2006,Minnesota,0.07159
2006,Mississippi,0.01701
2006,Missouri,0.06919
2006,Montana,0
2006,Nebraska,0.09383
2006,Nevada,0.06272
2006,New Hampshire,0.05174
2006,New Jersey,0.01997
2006,New Mexico,0.14741
2006,New York,0.0203
2006,North Carolina,0.03685
2006,North Dakota,0.10352
2006,Ohio,0.04065
2006,Oklahoma,0.0896
2006,Oregon,0
2006,Pennsylvania,0.02076
2006,Rhode Island,0.03104
2006,South Carolina,0.02722
2006,South Dakota,0.12999
2006,Tennessee,0.03586
2006,Texas,0.01265
2006,Utah,0.05625
2006,Vermont,0.04652
2006,Virginia,0.0699
2006,Washington,0.00031
2006,West Virginia,0.10081
2006,Wisconsin,0
2006,Wyoming,0.3591
2007,Alabama,0.08487
2007,Alaska,0.54775
2007,Arizona,0.06637
2007,Arkansas,0
2007,California,0.02973
2007,Colorado,0.03789
2007,Connecticut,0.08952
2007,Delaware,0.05174
2007,Florida,0.04383
2007,Georgia,0.08059
2007,Hawaiʻi,0.01143
2007,Idaho,0.04719
2007,Illinois,0.01077
2007,Indiana,0.02811
2007,Iowa,0.09937
2007,Kansas,0
2007,Kentucky,0.02635
2007,Louisiana,0.07213
2007,Maine,0.03819
2007,Maryland,0.10104
2007,Massachusetts,0.10261
2007,Michigan,0.00023
2007,Minnesota,0.07182
2007,Mississippi,0.0124
2007,Missouri,0.06822
2007,Montana,0
2007,Nebraska,0.16515
2007,Nevada,0.0745
2007,New Hampshire,0.06516
2007,New Jersey,0.016
2007,New Mexico,0.10928
2007,New York,0.01998
2007,North Carolina,0.04215
2007,North Dakota,0.19763
2007,Ohio,0.04025
2007,Oklahoma,0.09137
2007,Oregon,0
2007,Pennsylvania,0.02711
2007,Rhode Island,0.02446
2007,South Carolina,0.02554
2007,South Dakota,0.12145
2007,Tennessee,0.05554
2007,Texas,0.03631
2007,Utah,0.06278
