year,county,value
2008,Hawaiʻi,32980
2008,Honolulu,45973
2008,Kauaʻi,37203
2008,Maui,37579
2009,Hawaiʻi,30347
2009,Honolulu,44399
2009,Kauaʻi,34337
2009,Maui,34081
2010,Hawaiʻi,31353
2010,Honolulu,45145
2010,Kauaʻi,35157
2010,Maui,35495
2011,Hawaiʻi,31390
2011,Honolulu,45225
2011,Kauaʻi,35066
2011,Maui,35905
2012,Hawaiʻi,31651
2012,Honolulu,45671
2012,Kauaʻi,35646
2012,Maui,37729
2013,Hawaiʻi,30605
2013,Honolulu,43399
2013,Kauaʻi,35071
2013,Maui,35953
2014,Hawaiʻi,32180
2014,Honolulu,45278
2014,Kauaʻi,36792
2014,Maui,37520
2015,Hawaiʻi,33689
2015,Honolulu,46256
2015,Kauaʻi,38045
2015,Maui,39078
2016,Hawaiʻi,34940
2016,Honolulu,47967
2016,Kauaʻi,39529
2016,Maui,40633
2017,Hawaiʻi,35957
2017,Honolulu,48632
2017,Kauaʻi,40566
2017,Maui,41680
2018,Hawaiʻi,36031
2018,Honolulu,48312
2018,Kauaʻi,41579
2018,Maui,42117
2019,Hawaiʻi,37251
2019,Honolulu,49137
2019,Kauaʻi,43416
2019,Maui,44420
2020,Hawaiʻi,38390
2020,Honolulu,50880
2020,Kauaʻi,44750
2020,Maui,44644
2021,Hawaiʻi,41248
2021,Honolulu,52234
2021,Kauaʻi,46405
2021,Maui,49135
2022,Hawaiʻi,39716
2022,Honolulu,51527
2022,Kauaʻi,45887
2022,Maui,47683
2023,Hawaiʻi,41491
2023,Honolulu,53585
2023,Kauaʻi,48078
2023,Maui,48707
2024,Hawaiʻi,42431
2024,Honolulu,54924
2024,Kauaʻi,49400
2024,Maui,49634
