year,state,value
2001,Alabama,0.1001
2001,Alaska,0.1997
2001,Arizona,0.0852
2001,Arkansas,0.086
2001,California,0.2375
2001,Colorado,0.0343
2001,Connecticut,0.0392
2001,Delaware,0
2001,Florida,0.0206
2001,Georgia,0.0473
2001,Hawaiʻi,0.0562
2001,Idaho,0.8298
2001,Illinois,0.0046
2001,Indiana,0.0056
2001,Iowa,0.0353
2001,Kansas,0.0015
2001,Kentucky,0.0405
2001,Louisiana,0.0391
2001,Maine,0.3307
2001,Maryland,0.0317
2001,Massachusetts,0.0524
2001,Michigan,0.0351
2001,Minnesota,0.0579
2001,Mississippi,0.0268
2001,Missouri,0.014
2001,Montana,0.2756
2001,Nebraska,0.0375
2001,Nevada,0.1096
2001,New Hampshire,0.1337
2001,New Jersey,0.0145
2001,New Mexico,0.0076
2001,New York,0.1729
2001,North Carolina,0.037
2001,North Dakota,0.0442
2001,Ohio,0.0066
2001,Oklahoma,0.0466
2001,Oregon,0.6544
2001,Pennsylvania,0.018
2001,Rhode Island,0.0142
2001,South Carolina,0.0238
2001,South Dakota,0.4638
2001,Tennessee,0.0807
2001,Texas,0.0091
2001,Utah,0.0186
2001,Vermont,0.2311
2001,Virginia,0.0373
2001,Washington,0.6738
2001,West Virginia,0.0118
2001,Wisconsin,0.0537
2001,Wyoming,0.0278
2002,Alabama,0.0946
2002,Alaska,0.2145
2002,Arizona,0.0795
2002,Arkansas,0.1055
2002,California,0.2961
2002,Colorado,0.0302
2002,Connecticut,0.0369
2002,Delaware,0
2002,Florida,0.0193
2002,Georgia,0.0719
2002,Hawaiʻi,0.04
2002,Idaho,0.948
2002,Illinois,0.0045
2002,Indiana,0.0042
2002,Iowa,0.0462
2002,Kansas,0.0102
2002,Kentucky,0.0477
2002,Louisiana,0.039
2002,Maine,0.3023
2002,Maryland,0.0452
2002,Massachusetts,0.0511
2002,Michigan,0.033
2002,Minnesota,0.0492
2002,Mississippi,0.0218
2002,Missouri,0.0168
2002,Montana,0.3781
2002,Nebraska,0.0354
2002,Nevada,0.1058
2002,New Hampshire,0.1257
2002,New Jersey,0.014
2002,New Mexico,0.0093
2002,New York,0.1924
2002,North Carolina,0.0424
2002,North Dakota,0.0509
2002,Ohio,0.0043
