year,county,value
2013,Hawaiʻi,0.6011
2013,Honolulu,0.5697
2013,Kauaʻi,0.4313
2013,Maui,0.4678
2014,Hawaiʻi,0.5577
2014,Honolulu,0.593
2014,Kauaʻi,0.4918
2014,Maui,0.507
2015,Hawaiʻi,0.5107
2015,Honolulu,0.5924
2015,Kauaʻi,0.3817
2015,Maui,0.5068
2016,Hawaiʻi,0.4934
2016,Honolulu,0.5809
2016,Kauaʻi,0.5188
2016,Maui,0.4701
2017,Hawaiʻi,0.4948
2017,Honolulu,0.584
2017,Kauaʻi,0.5218
2017,Maui,0.4954
2018,Hawaiʻi,0.4871
2018,Honolulu,0.5504
2018,Kauaʻi,0.4342
2018,Maui,0.4711
2019,Hawaiʻi,0.5171
2019,Honolulu,0.5473
2019,Kauaʻi,0.3942
2019,Maui,0.513
2021,Hawaiʻi,0.4907
2021,Honolulu,0.5888
2021,Kauaʻi,0.5901
2021,Maui,0.5997
2022,Hawaiʻi,0.4603
2022,Honolulu,0.6102
2022,Kauaʻi,0.4848
2022,Maui,0.5061
2023,Hawaiʻi,0.5609
2023,Honolulu,0.5692
2023,Kauaʻi,0.5845
2023,Maui,0.5465
