year,state,value
2005,Alabama,0.4527
2005,Alaska,0.4455
2005,Arizona,0.4844
2005,Arkansas,0.4582
2005,California,0.545
2005,Colorado,0.4966
2005,Connecticut,0.4806
2005,Delaware,0.4585
2005,Florida,0.5468
2005,Georgia,0.4842
2005,Hawaiʻi,0.5004
2005,Idaho,0.4675
2005,Illinois,0.4956
2005,Indiana,0.4704
2005,Iowa,0.436
2005,Kansas,0.4421
2005,Kentucky,0.4563
2005,Louisiana,0.498
2005,Maine,0.4745
2005,Maryland,0.4828
2005,Massachusetts,0.4949
2005,Michigan,0.5165
2005,Minnesota,0.4806
2005,Mississippi,0.4899
2005,Missouri,0.4532
2005,Montana,0.4527
2005,Nebraska,0.3927
2005,Nevada,0.4941
2005,New Hampshire,0.4537
2005,New Jersey,0.5032
2005,New Mexico,0.4934
2005,New York,0.5105
2005,North Carolina,0.474
2005,North Dakota,0.365
2005,Ohio,0.4798
2005,Oklahoma,0.4632
2005,Oregon,0.516
2005,Pennsylvania,0.4665
2005,Rhode Island,0.4773
2005,South Carolina,0.4833
2005,South Dakota,0.3931
2005,Tennessee,0.463
2005,Texas,0.4931
2005,Utah,0.4463
2005,Vermont,0.4948
2005,Virginia,0.457
2005,Washington,0.4888
2005,West Virginia,0.4706
2005,Wisconsin,0.4414
2005,Wyoming,0.3441
2006,Alabama,0.4812
2006,Alaska,0.4391
2006,Arizona,0.4856
2006,Arkansas,0.4893
2006,California,0.5457
2006,Colorado,0.5042
2006,Connecticut,0.5005
2006,Delaware,0.4896
2006,Florida,0.561
2006,Georgia,0.4993
2006,Hawaiʻi,0.5163
2006,Idaho,0.4287
2006,Illinois,0.4933
2006,Indiana,0.4815
2006,Iowa,0.443
2006,Kansas,0.4462
2006,Kentucky,0.4574
2006,Louisiana,0.5079
2006,Maine,0.4635
2006,Maryland,0.4649
2006,Massachusetts,0.5129
2006,Michigan,0.5183
2006,Minnesota,0.4735
2006,Mississippi,0.5326
2006,Missouri,0.4643
2006,Montana,0.4626
2006,Nebraska,0.4257
2006,Nevada,0.5026
2006,New Hampshire,0.4968
2006,New Jersey,0.498
2006,New Mexico,0.4783
2006,New York,0.5086
2006,North Carolina,0.4744
2006,North Dakota,0.4056
2006,Ohio,0.4847
2006,Oklahoma,0.4669
2006,Oregon,0.4971
2006,Pennsylvania,0.4687
2006,Rhode Island,0.4708
2006,South Carolina,0.4677
2006,South Dakota,0.3873
2006,Tennessee,0.4757
2006,Texas,0.4854
2006,Utah,0.448
2006,Vermont,0.5116
2006,Virginia,0.4557
2006,Washington,0.4748
2006,West Virginia,0.4778
2006,Wisconsin,0.4619
2006,Wyoming,0.3445
2007,Alabama,0.4813
2007,Alaska,0.423
2007,Arizona,0.5007
2007,Arkansas,0.4746
2007,California,0.5374
2007,Colorado,0.4919
2007,Connecticut,0.5039
2007,Delaware,0.512
2007,Florida,0.5645
2007,Georgia,0.4905
2007,Hawaiʻi,0.5316
2007,Idaho,0.4256
2007,Illinois,0.499
2007,Indiana,0.4526
2007,Iowa,0.4235
2007,Kansas,0.4165
2007,Kentucky,0.4459
2007,Louisiana,0.5084
2007,Maine,0.4603
2007,Maryland,0.4914
2007,Massachusetts,0.4982
2007,Michigan,0.5229
2007,Minnesota,0.4687
2007,Mississippi,0.5108
2007,Missouri,0.4692
2007,Montana,0.4153
2007,Nebraska,0.4202
2007,Nevada,0.5009
2007,New Hampshire,0.4424
2007,New Jersey,0.5121
2007,New Mexico,0.4723
2007,New York,0.5029
2007,North Carolina,0.4741
2007,North Dakota,0.4074
2007,Ohio,0.4884
2007,Oklahoma,0.4422
2007,Oregon,0.4795
2007,Pennsylvania,0.47
2007,Rhode Island,0.4998
2007,South Carolina,0.458
2007,South Dakota,0.3901
2007,Tennessee,0.4576
2007,Texas,0.4753
2007,Utah,0.4216
2007,Vermont,0.4912
2007,Virginia,0.4626
2007,Washington,0.4721
2007,West Virginia,0.4508
2007,Wisconsin,0.4435
2007,Wyoming,0.3162
2008,Alabama,0.4811
2008,Alaska,0.4272
2008,Arizona,0.5015
2008,Arkansas,0.4822
2008,California,0.5469
2008,Colorado,0.5009
2008,Connecticut,0.5122
2008,Delaware,0.5138
2008,Florida,0.5747
2008,Georgia,0.4944
2008,Hawaiʻi,0.5544
2008,Idaho,0.4493
2008,Illinois,0.4902
2008,Indiana,0.4718
2008,Iowa,0.4346
2008,Kansas,0.4369
2008,Kentucky,0.4623
2008,Louisiana,0.5121
2008,Maine,0.5159
2008,Maryland,0.4934
2008,Massachusetts,0.4916
2008,Michigan,0.5293
2008,Minnesota,0.4909
2008,Mississippi,0.5259
2008,Missouri,0.4486
2008,Montana,0.4575
2008,Nebraska,0.4093
2008,Nevada,0.4961
2008,New Hampshire,0.4756
2008,New Jersey,0.5005
2008,New Mexico,0.4757
2008,New York,0.5053
2008,North Carolina,0.4627
2008,North Dakota,0.3797
2008,Ohio,0.4789
2008,Oklahoma,0.4479
2008,Oregon,0.5018
2008,Pennsylvania,0.4728
2008,Rhode Island,0.4911
2008,South Carolina,0.4717
2008,South Dakota,0.3888
2008,Tennessee,0.4798
2008,Texas,0.4773
2008,Utah,0.4272
2008,Vermont,0.5211
2008,Virginia,0.4726
2008,Washington,0.4804
2008,West Virginia,0.468
2008,Wisconsin,0.4514
2008,Wyoming,0.3798
2009,Alabama,0.5159
2009,Alaska,0.4088
2009,Arizona,0.5183
2009,Arkansas,0.4848
2009,California,0.5537
2009,Colorado,0.5249
2009,Connecticut,0.5265
2009,Delaware,0.528
2009,Florida,0.6027
2009,Georgia,0.5237
2009,Hawaiʻi,0.5707
2009,Idaho,0.4844
2009,Illinois,0.5097
2009,Indiana,0.4939
2009,Iowa,0.4382
2009,Kansas,0.4524
2009,Kentucky,0.4799
2009,Louisiana,0.5099
2009,Maine,0.5142
2009,Maryland,0.5197
2009,Massachusetts,0.4875
2009,Michigan,0.5586
2009,Minnesota,0.4993
2009,Mississippi,0.5347
2009,Missouri,0.4704
2009,Montana,0.4379
2009,Nebraska,0.4258
2009,Nevada,0.5219
2009,New Hampshire,0.4906
2009,New Jersey,0.5256
2009,New Mexico,0.4739
2009,New York,0.5157
2009,North Carolina,0.5083
2009,North Dakota,0.4023
2009,Ohio,0.4992
2009,Oklahoma,0.4677
2009,Oregon,0.5165
2009,Pennsylvania,0.4808
2009,Rhode Island,0.5007
2009,South Carolina,0.5129
2009,South Dakota,0.412
2009,Tennessee,0.5096
2009,Texas,0.4947
2009,Utah,0.4882
2009,Vermont,0.5131
2009,Virginia,0.4939
2009,Washington,0.5007
2009,West Virginia,0.4862
2009,Wisconsin,0.48
2009,Wyoming,0.3734
2010,Alabama,0.5405
2010,Alaska,0.4752
2010,Arizona,0.532
2010,Arkansas,0.4968
2010,California,0.5723
2010,Colorado,0.5224
2010,Connecticut,0.5368
2010,Delaware,0.5519
2010,Florida,0.6043
2010,Georgia,0.5432
2010,Hawaiʻi,0.5621
2010,Idaho,0.5092
2010,Illinois,0.5264
2010,Indiana,0.5138
2010,Iowa,0.4588
2010,Kansas,0.4544
2010,Kentucky,0.4946
2010,Louisiana,0.5329
2010,Maine,0.4939
2010,Maryland,0.5161
2010,Massachusetts,0.5081
2010,Michigan,0.5591
2010,Minnesota,0.5043
2010,Mississippi,0.5549
2010,Missouri,0.501
2010,Montana,0.457
2010,Nebraska,0.4484
2010,Nevada,0.5308
2010,New Hampshire,0.5074
2010,New Jersey,0.5432
2010,New Mexico,0.4833
2010,New York,0.5318
2010,North Carolina,0.5225
2010,North Dakota,0.4016
2010,Ohio,0.5193
2010,Oklahoma,0.4739
2010,Oregon,0.5435
2010,Pennsylvania,0.5067
2010,Rhode Island,0.518
2010,South Carolina,0.5374
2010,South Dakota,0.4166
2010,Tennessee,0.5267
2010,Texas,0.5031
2010,Utah,0.4884
2010,Vermont,0.5419
2010,Virginia,0.5045
2010,Washington,0.5116
2010,West Virginia,0.4934
2010,Wisconsin,0.4942
2010,Wyoming,0.3998
2011,Alabama,0.5383
2011,Alaska,0.443
2011,Arizona,0.5193
2011,Arkansas,0.5255
2011,California,0.5767
2011,Colorado,0.5157
2011,Connecticut,0.5525
2011,Delaware,0.5273
2011,Florida,0.6089
2011,Georgia,0.5488
2011,Hawaiʻi,0.589
2011,Idaho,0.5155
2011,Illinois,0.531
2011,Indiana,0.5185
2011,Iowa,0.4771
2011,Kansas,0.4664
2011,Kentucky,0.511
2011,Louisiana,0.5556
2011,Maine,0.5385
2011,Maryland,0.5361
2011,Massachusetts,0.5173
2011,Michigan,0.5552
2011,Minnesota,0.504
2011,Mississippi,0.5565
2011,Missouri,0.4976
2011,Montana,0.4658
2011,Nebraska,0.4359
2011,Nevada,0.5228
2011,New Hampshire,0.5027
2011,New Jersey,0.5458
2011,New Mexico,0.5325
2011,New York,0.5441
2011,North Carolina,0.5313
2011,North Dakota,0.4259
2011,Ohio,0.5172
2011,Oklahoma,0.4827
2011,Oregon,0.5547
2011,Pennsylvania,0.5139
2011,Rhode Island,0.5066
2011,South Carolina,0.5424
2011,South Dakota,0.3971
2011,Tennessee,0.5286
2011,Texas,0.4994
2011,Utah,0.512
2011,Vermont,0.5336
2011,Virginia,0.5025
2011,Washington,0.5068
2011,West Virginia,0.4888
2011,Wisconsin,0.4895
2011,Wyoming,0.3661
2012,Alabama,0.4982
2012,Alaska,0.4743
2012,Arizona,0.5141
2012,Arkansas,0.4887
2012,California,0.5758
2012,Colorado,0.51
2012,Connecticut,0.53
2012,Delaware,0.486
2012,Florida,0.5865
2012,Georgia,0.5307
2012,Hawaiʻi,0.5531
2012,Idaho,0.499
2012,Illinois,0.5075
2012,Indiana,0.4922
2012,Iowa,0.449
2012,Kansas,0.4451
2012,Kentucky,0.4828
2012,Louisiana,0.5256
2012,Maine,0.5181
2012,Maryland,0.5059
2012,Massachusetts,0.4942
2012,Michigan,0.5427
2012,Minnesota,0.4824
2012,Mississippi,0.5425
2012,Missouri,0.5088
2012,Montana,0.4711
2012,Nebraska,0.4278
2012,Nevada,0.5121
2012,New Hampshire,0.4893
2012,New Jersey,0.5422
2012,New Mexico,0.5138
2012,New York,0.5345
2012,North Carolina,0.4966
2012,North Dakota,0.3528
2012,Ohio,0.4932
2012,Oklahoma,0.4775
2012,Oregon,0.537
2012,Pennsylvania,0.4993
2012,Rhode Island,0.5058
2012,South Carolina,0.5262
2012,South Dakota,0.4079
2012,Tennessee,0.5105
2012,Texas,0.4823
2012,Utah,0.4959
2012,Vermont,0.5067
2012,Virginia,0.5025
2012,Washington,0.5068
2012,West Virginia,0.4813
2012,Wisconsin,0.4866
2012,Wyoming,0.4349
2013,Alabama,0.4997
2013,Alaska,0.4324
2013,Arizona,0.4962
2013,Arkansas,0.4832
2013,California,0.5709
2013,Colorado,0.5192
2013,Connecticut,0.5292
2013,Delaware,0.5105
2013,Florida,0.5782
2013,Georgia,0.5267
2013,Hawaiʻi,0.556
2013,Idaho,0.4766
2013,Illinois,0.4952
2013,Indiana,0.497
2013,Iowa,0.4315
2013,Kansas,0.4513
2013,Kentucky,0.4611
2013,Louisiana,0.5235
2013,Maine,0.5256
2013,Maryland,0.5139
2013,Massachusetts,0.5016
2013,Michigan,0.5251
2013,Minnesota,0.4767
2013,Mississippi,0.5111
2013,Missouri,0.4887
2013,Montana,0.4705
2013,Nebraska,0.4451
2013,Nevada,0.4923
2013,New Hampshire,0.4773
2013,New Jersey,0.5375
2013,New Mexico,0.5139
2013,New York,0.5382
2013,North Carolina,0.4996
2013,North Dakota,0.4262
2013,Ohio,0.4834
2013,Oklahoma,0.4506
2013,Oregon,0.5319
2013,Pennsylvania,0.5032
2013,Rhode Island,0.5219
2013,South Carolina,0.5193
2013,South Dakota,0.3968
2013,Tennessee,0.502
2013,Texas,0.4769
2013,Utah,0.4694
2013,Vermont,0.5394
2013,Virginia,0.4917
2013,Washington,0.5095
2013,West Virginia,0.474
2013,Wisconsin,0.4724
2013,Wyoming,0.4169
2014,Alabama,0.5167
2014,Alaska,0.5129
2014,Arizona,0.496
2014,Arkansas,0.475
2014,California,0.5677
2014,Colorado,0.5086
2014,Connecticut,0.5359
2014,Delaware,0.4965
2014,Florida,0.5789
2014,Georgia,0.5208
2014,Hawaiʻi,0.5749
2014,Idaho,0.4678
2014,Illinois,0.5017
2014,Indiana,0.496
