year,state,value
1970,Alabama,1.58
1970,Alaska,3.17
1970,Arizona,2.39
1970,Arkansas,2.33
1970,California,2.23
1970,Colorado,2.64
1970,Connecticut,2.46
1970,Delaware,2.57
1970,Florida,2.08
1970,Georgia,1.77
1970,Hawaiʻi,2.8
1970,Idaho,1.64
1970,Illinois,2.72
1970,Indiana,2.24
1970,Iowa,2.64
1970,Kansas,2.45
1970,Kentucky,2
1970,Louisiana,2.25
1970,Maine,2.77
1970,Maryland,2.4
1970,Massachusetts,2.93
1970,Michigan,2.39
1970,Minnesota,2.49
1970,Mississippi,1.73
1970,Missouri,2.68
1970,Montana,2.24
1970,Nebraska,2.12
1970,Nevada,1.52
1970,New Hampshire,2.83
1970,New Jersey,2.67
1970,New Mexico,2.78
1970,New York,3.01
1970,North Carolina,1.86
1970,North Dakota,2.66
1970,Ohio,2.39
1970,Oklahoma,2.53
1970,Oregon,1.25
1970,Pennsylvania,2.44
1970,Rhode Island,2.88
1970,South Carolina,1.92
1970,South Dakota,2.65
1970,Tennessee,1.14
1970,Texas,2.15
1970,Utah,2.28
1970,Vermont,2.28
1970,Virginia,2.08
1970,Washington,1.06
1970,West Virginia,2.19
1970,Wisconsin,2.3
1970,Wyoming,2.57
1971,Alabama,1.67
1971,Alaska,3.18
1971,Arizona,2.36
1971,Arkansas,2.36
1971,California,2.31
1971,Colorado,2.65
1971,Connecticut,2.66
1971,Delaware,2.77
1971,Florida,2.14
1971,Georgia,1.87
1971,Hawaiʻi,2.95
1971,Idaho,1.68
1971,Illinois,2.83
1971,Indiana,2.25
1971,Iowa,2.71
1971,Kansas,2.5
1971,Kentucky,1.84
1971,Louisiana,2.27
1971,Maine,2.76
1971,Maryland,2.63
1971,Massachusetts,3.13
1971,Michigan,2.45
1971,Minnesota,2.57
1971,Mississippi,1.88
1971,Missouri,2.68
1971,Montana,2.24
1971,Nebraska,2.22
1971,Nevada,1.53
1971,New Hampshire,2.76
1971,New Jersey,3.04
1971,New Mexico,2.79
1971,New York,3.24
1971,North Carolina,2
1971,North Dakota,2.67
1971,Ohio,2.46
1971,Oklahoma,2.54
1971,Oregon,1.33
1971,Pennsylvania,2.76
1971,Rhode Island,2.93
1971,South Carolina,2.07
1971,South Dakota,2.64
1971,Tennessee,1.34
1971,Texas,2.16
1971,Utah,2.35
1971,Vermont,2.34
1971,Virginia,2.14
1971,Washington,1.07
1971,West Virginia,2.31
1971,Wisconsin,2.35
1971,Wyoming,2.57
1972,Alabama,1.75
1972,Alaska,3.51
1972,Arizona,2.5
1972,Arkansas,2.42
1972,California,2.46
1972,Colorado,2.74
1972,Connecticut,2.94
1972,Delaware,3.2
1972,Florida,2.23
1972,Georgia,2.01
1972,Hawaiʻi,2.99
1972,Idaho,1.69
1972,Illinois,2.99
1972,Indiana,2.4
1972,Iowa,2.82
1972,Kansas,2.49
1972,Kentucky,1.86
1972,Louisiana,2.3
1972,Maine,2.87
1972,Maryland,2.75
1972,Massachusetts,3.25
1972,Michigan,2.55
1972,Minnesota,2.68
1972,Mississippi,2.07
1972,Missouri,2.75
1972,Montana,2.27
1972,Nebraska,2.36
1972,Nevada,1.64
1972,New Hampshire,2.81
1972,New Jersey,3.23
1972,New Mexico,2.87
1972,New York,3.43
1972,North Carolina,2.14
1972,North Dakota,2.74
1972,Ohio,2.5
1972,Oklahoma,2.53
1972,Oregon,1.34
1972,Pennsylvania,2.91
