year,state,value
2007,Alabama,0.0071
2007,Alaska,0.1795
2007,Arizona,0.0491
2007,Arkansas,0.0598
2007,California,0.2473
2007,Colorado,0.0716
2007,Connecticut,0.1526
2007,Delaware,0.0619
2007,Florida,0.0116
2007,Georgia,0.0012
2007,Hawaiʻi,0.2102
2007,Idaho,0.0257
2007,Illinois,0.1437
2007,Indiana,0.0675
2007,Iowa,0.1182
2007,Kansas,0.0295
2007,Kentucky,0.0167
2007,Louisiana,0.1587
2007,Maine,0.0842
2007,Maryland,0.1433
2007,Massachusetts,0.2404
2007,Michigan,0.1234
2007,Minnesota,0.0504
2007,Mississippi,0.1497
2007,Missouri,0.0581
2007,Montana,0.0096
2007,Nebraska,0.0602
2007,Nevada,0.0085
2007,New Hampshire,0.0689
2007,New Jersey,0.3015
2007,New Mexico,0.0501
2007,New York,0.1527
2007,North Carolina,0.0381
2007,North Dakota,0.0343
2007,Ohio,0.0813
2007,Oklahoma,0.1167
2007,Oregon,0.035
2007,Pennsylvania,0.0914
2007,Rhode Island,0.3386
2007,South Carolina,0.0247
2007,South Dakota,0.1503
2007,Tennessee,0.0278
2007,Texas,0.0737
2007,Utah,0.0388
2007,Vermont,0.1347
2007,Virginia,0.0373
2007,Washington,0.0913
2007,West Virginia,0.0396
2007,Wisconsin,0.0657
2007,Wyoming,0.0329
2008,Alabama,0.0036
2008,Alaska,0.2035
2008,Arizona,0.0488
2008,Arkansas,0.0542
2008,California,0.2464
2008,Colorado,0.0748
2008,Connecticut,0.1286
2008,Delaware,0.0593
2008,Florida,0.0117
2008,Georgia,0.0018
2008,Hawaiʻi,0.2241
2008,Idaho,0.0344
2008,Illinois,0.1503
2008,Indiana,0.0646
2008,Iowa,0.1066
2008,Kansas,0.0257
2008,Kentucky,0.0165
2008,Louisiana,0.1879
2008,Maine,0.0884
2008,Maryland,0.1343
2008,Massachusetts,0.2582
2008,Michigan,0.1188
2008,Minnesota,0.0652
2008,Mississippi,0.1609
2008,Missouri,0.0366
2008,Montana,0.0092
2008,Nebraska,0.0577
2008,Nevada,0.0095
2008,New Hampshire,0.0881
2008,New Jersey,0.3031
2008,New Mexico,0.0525
2008,New York,0.1405
2008,North Carolina,0.0297
2008,North Dakota,0.042
2008,Ohio,0.0885
2008,Oklahoma,0.11
2008,Oregon,0.0377
2008,Pennsylvania,0.0915
2008,Rhode Island,0.3396
2008,South Carolina,0.0255
2008,South Dakota,0.1359
2008,Tennessee,0.0246
2008,Texas,0.0598
2008,Utah,0.0395
2008,Vermont,0.2811
2008,Virginia,0.0382
2008,Washington,0.0937
2008,West Virginia,0.0386
2008,Wisconsin,0.0706
2008,Wyoming,0.038
2009,Alabama,0.0658
2009,Alaska,0.1857
2009,Arizona,0.0488
2009,Arkansas,0.0564
2009,California,0.2331
2009,Colorado,0.1057
2009,Connecticut,0.1446
2009,Delaware,0.05
2009,Florida,0.0284
2009,Georgia,0.002
2009,Hawaiʻi,0.2019
2009,Idaho,0.0231
2009,Illinois,0.0988
2009,Indiana,0.0829
2009,Iowa,0.1114
2009,Kansas,0.0262
2009,Kentucky,0.0127
2009,Louisiana,0.1855
2009,Maine,0.1067
2009,Maryland,0.124
2009,Massachusetts,0.2663
2009,Michigan,0.1203
2009,Minnesota,0.0813
2009,Mississippi,0.1519
2009,Missouri,0.0447
2009,Montana,0.0105
2009,Nebraska,0.0563
2009,Nevada,0.0111
2009,New Hampshire,0.0821
2009,New Jersey,0.2991
2009,New Mexico,0.0528
2009,New York,0.1404
2009,North Carolina,0.0426
2009,North Dakota,0.0348
2009,Ohio,0.0883
2009,Oklahoma,0.1122
2009,Oregon,0.0494
2009,Pennsylvania,0.0859
2009,Rhode Island,0.3381
2009,South Carolina,0.0256
2009,South Dakota,0.1359
2009,Tennessee,0.0276
2009,Texas,0.0247
2009,Utah,0.036
2009,Vermont,0.2757
2009,Virginia,0.0397
2009,Washington,0.0971
2009,West Virginia,0.0516
2009,Wisconsin,0.0662
2009,Wyoming,0.0491
2011,Alabama,0.0206
2011,Alaska,0.2
2011,Arizona,0.0581
2011,Arkansas,0.1014
2011,California,0.2493
2011,Colorado,0.1063
2011,Connecticut,0.2091
2011,Delaware,0.0834
2011,Florida,0.0308
2011,Georgia,0.0038
2011,Hawaiʻi,0.2448
2011,Idaho,0.0159
2011,Illinois,0.1095
2011,Indiana,0.1059
2011,Iowa,0.1074
2011,Kansas,0.0219
2011,Kentucky,0.05
2011,Louisiana,0.1219
2011,Maine,0.0776
2011,Maryland,0.1006
2011,Massachusetts,0.2885
2011,Michigan,0.1319
2011,Minnesota,0.0755
2011,Mississippi,0.0323
2011,Missouri,0.0525
2011,Montana,0.0397
2011,Nebraska,0.0675
2011,Nevada,0.0016
2011,New Hampshire,0.1065
2011,New Jersey,0.3042
2011,New Mexico,0.0718
2011,New York,0.1652
2011,North Carolina,0.0703
2011,North Dakota,0.0404
2011,Ohio,0.0852
2011,Oklahoma,0.0888
2011,Oregon,0.0302
2011,Pennsylvania,0.0962
2011,Rhode Island,0.4043
2011,South Carolina,0.0175
2011,South Dakota,0.0446
2011,Tennessee,0.0411
2011,Texas,0.0797
2011,Utah,0.0636
2011,Vermont,0.1686
2011,Virginia,0.0392
2011,Washington,0.1295
2011,West Virginia,0.0845
2011,Wisconsin,0.1119
2011,Wyoming,0.027
2012,Alabama,0.0237
2012,Alaska,0.1889
2012,Arizona,0.0476
2012,Arkansas,0.0791
2012,California,0.222
2012,Colorado,0.111
2012,Connecticut,0.2388
2012,Delaware,0.0992
2012,Florida,0.0221
2012,Georgia,0.0052
2012,Hawaiʻi,0.2456
2012,Idaho,0.1069
2012,Illinois,0.075
2012,Indiana,0.0985
2012,Iowa,0.1071
2012,Kansas,0.0338
2012,Kentucky,0.0549
2012,Louisiana,0.1425
2012,Maine,0.0541
2012,Maryland,0.1237
2012,Massachusetts,0.275
2012,Michigan,0.1085
2012,Minnesota,0.0971
2012,Mississippi,0.0386
2012,Missouri,0.0715
2012,Montana,0.0442
2012,Nebraska,0.0439
2012,Nevada,0.0127
2012,New Hampshire,0.0963
2012,New Jersey,0.2829
2012,New Mexico,0.0805
2012,New York,0.166
2012,North Carolina,0.0769
2012,North Dakota,0.0294
