year,state,value
1999,Alabama,12.5
1999,Alaska,16.8
1999,Arizona,15.5
1999,Arkansas,12.6
1999,California,9.6
1999,Colorado,13.7
1999,Connecticut,7.9
1999,Delaware,11
1999,Florida,12.2
1999,Georgia,11.2
1999,Hawaiʻi,11.1
1999,Idaho,14.8
1999,Illinois,8.3
1999,Indiana,10.4
1999,Iowa,10.3
1999,Kansas,11.2
1999,Kentucky,11.6
1999,Louisiana,11.9
1999,Maine,13.4
1999,Maryland,8.3
1999,Massachusetts,6.7
1999,Michigan,9.9
1999,Minnesota,9
1999,Mississippi,11
1999,Missouri,12.6
1999,Montana,17.7
1999,Nebraska,10.5
1999,Nevada,21.3
1999,New Hampshire,11.2
1999,New Jersey,6.6
1999,New Mexico,18.1
1999,New York,6.3
1999,North Carolina,11
1999,North Dakota,11.1
1999,Ohio,9.7
1999,Oklahoma,14.4
1999,Oregon,13.9
1999,Pennsylvania,10.3
1999,Rhode Island,9.1
1999,South Carolina,10.5
1999,South Dakota,13.7
1999,Tennessee,12.7
1999,Texas,10.2
1999,Utah,14
1999,Vermont,10.3
1999,Virginia,11.2
1999,Washington,14
1999,West Virginia,12.1
1999,Wisconsin,11.1
1999,Wyoming,20.3
2000,Alabama,13.1
2000,Alaska,21.5
2000,Arizona,15.6
2000,Arkansas,13
2000,California,9.1
2000,Colorado,14.3
2000,Connecticut,8.8
2000,Delaware,10.4
2000,Florida,12.4
2000,Georgia,10.7
2000,Hawaiʻi,11.2
2000,Idaho,13.3
2000,Illinois,8.1
2000,Indiana,11.3
2000,Iowa,9.8
2000,Kansas,12.2
2000,Kentucky,12.8
2000,Louisiana,10.7
2000,Maine,11.8
2000,Maryland,9
2000,Massachusetts,6
2000,Michigan,9.9
2000,Minnesota,8.9
2000,Mississippi,10.5
2000,Missouri,12.5
2000,Montana,17.5
2000,Nebraska,11.3
2000,Nevada,20.2
2000,New Hampshire,10.3
2000,New Jersey,6.6
2000,New Mexico,18.3
2000,New York,5.9
2000,North Carolina,12
2000,North Dakota,10.4
2000,Ohio,9.5
2000,Oklahoma,14.6
2000,Oregon,14.1
2000,Pennsylvania,10.8
2000,Rhode Island,7.1
2000,South Carolina,11.1
2000,South Dakota,12.7
2000,Tennessee,12.7
2000,Texas,10.2
2000,Utah,14.7
2000,Vermont,12.3
2000,Virginia,10.8
2000,Washington,12.4
2000,West Virginia,13.2
2000,Wisconsin,10.9
2000,Wyoming,16.8
2001,Alabama,11.4
2001,Alaska,15.9
2001,Arizona,14.8
2001,Arkansas,14.3
2001,California,8.5
2001,Colorado,16.5
2001,Connecticut,8.1
2001,Delaware,13.5
2001,Florida,13.5
2001,Georgia,11.4
2001,Hawaiʻi,10.9
2001,Idaho,16.3
2001,Illinois,9.2
