year,county,value
2000,Hawaiʻi,0.0501
2000,Honolulu,0.0411
2000,Kauaʻi,0.0482
2000,Maui,0.0391
2001,Hawaiʻi,0.0503
2001,Honolulu,0.0413
2001,Kauaʻi,0.0509
2001,Maui,0.0405
2002,Hawaiʻi,0.0459
2002,Honolulu,0.0396
2002,Kauaʻi,0.044
2002,Maui,0.0391
2003,Hawaiʻi,0.0464
2003,Honolulu,0.0377
2003,Kauaʻi,0.0399
2003,Maui,0.0376
2004,Hawaiʻi,0.0395
2004,Honolulu,0.0321
2004,Kauaʻi,0.0344
2004,Maui,0.0315
2005,Hawaiʻi,0.0341
2005,Honolulu,0.0275
2005,Kauaʻi,0.0283
2005,Maui,0.0267
2006,Hawaiʻi,0.0303
2006,Honolulu,0.0248
2006,Kauaʻi,0.0249
2006,Maui,0.0242
2007,Hawaiʻi,0.0349
2007,Honolulu,0.0262
2007,Kauaʻi,0.0266
2007,Maui,0.029
2008,Hawaiʻi,0.0567
2008,Honolulu,0.0363
2008,Kauaʻi,0.0456
2008,Maui,0.0462
2009,Hawaiʻi,0.0929
2009,Honolulu,0.055
2009,Kauaʻi,0.0891
2009,Maui,0.0833
2010,Hawaiʻi,0.0948
2010,Honolulu,0.0577
2010,Kauaʻi,0.084
2010,Maui,0.0819
2011,Hawaiʻi,0.0957
2011,Honolulu,0.0583
2011,Kauaʻi,0.0842
2011,Maui,0.0774
2012,Hawaiʻi,0.0793
2012,Honolulu,0.0524
2012,Kauaʻi,0.0693
2012,Maui,0.0613
2013,Hawaiʻi,0.0637
2013,Honolulu,0.0433
2013,Kauaʻi,0.0534
2013,Maui,0.0496
2014,Hawaiʻi,0.0528
2014,Honolulu,0.0398
2014,Kauaʻi,0.0457
2014,Maui,0.0433
2015,Hawaiʻi,0.0414
2015,Honolulu,0.0323
2015,Kauaʻi,0.0376
2015,Maui,0.035
2016,Hawaiʻi,0.0374
2016,Honolulu,0.0269
2016,Kauaʻi,0.0311
2016,Maui,0.0308
2017,Hawaiʻi,0.0274
2017,Honolulu,0.0211
2017,Kauaʻi,0.022
2017,Maui,0.0243
2018,Hawaiʻi,0.0307
2018,Honolulu,0.0227
2018,Kauaʻi,0.0244
2018,Maui,0.0241
2019,Hawaiʻi,0.0341
2019,Honolulu,0.0236
2019,Kauaʻi,0.0252
2019,Maui,0.025
2020,Hawaiʻi,0.1214
2020,Honolulu,0.1014
2020,Kauaʻi,0.1636
2020,Maui,0.1841
2021,Hawaiʻi,0.0612
2021,Honolulu,0.0541
2021,Kauaʻi,0.0817
2021,Maui,0.0777
2022,Hawaiʻi,0.0364
2022,Honolulu,0.0315
2022,Kauaʻi,0.0338
2022,Maui,0.0328
2023,Hawaiʻi,0.0313
2023,Honolulu,0.0257
2023,Kauaʻi,0.0248
2023,Maui,0.0434
2024,Hawaiʻi,0.0299
2024,Honolulu,0.0252
2024,Kauaʻi,0.0243
2024,Maui,0.0407
