year,state,value
1976,Alabama,0.0669
1976,Alaska,0.0759
1976,Arizona,0.0978
1976,Arkansas,0.069
1976,California,0.0916
1976,Colorado,0.0591
1976,Connecticut,0.0916
1976,Delaware,0.0872
1976,Florida,0.0925
1976,Georgia,0.0813
1976,Hawaiʻi,0.0912
1976,Idaho,0.0563
1976,Illinois,0.0654
1976,Indiana,0.0602
1976,Iowa,0.0414
1976,Kansas,0.0414
1976,Kentucky,0.0542
1976,Louisiana,0.0663
1976,Maine,0.0864
1976,Maryland,0.0663
1976,Massachusetts,0.0975
1976,Michigan,0.0939
1976,Minnesota,0.0577
1976,Mississippi,0.0646
1976,Missouri,0.0621
1976,Montana,0.0593
1976,Nebraska,0.0311
1976,Nevada,0.0882
1976,New Hampshire,0.0642
1976,New Jersey,0.1038
1976,New Mexico,0.0873
1976,New York,0.1021
1976,North Carolina,0.0619
1976,North Dakota,0.0379
1976,Ohio,0.0772
1976,Oklahoma,0.0557
1976,Oregon,0.0927
1976,Pennsylvania,0.0801
1976,Rhode Island,0.08
1976,South Carolina,0.07
1976,South Dakota,0.0333
1976,Tennessee,0.0612
1976,Texas,0.0584
1976,Utah,0.056
1976,Vermont,0.0823
1976,Virginia,0.0586
1976,Washington,0.0876
1976,West Virginia,0.0718
1976,Wisconsin,0.0555
1976,Wyoming,0.039
1977,Alabama,0.0712
1977,Alaska,0.0982
1977,Arizona,0.0842
1977,Arkansas,0.0647
1977,California,0.0838
1977,Colorado,0.0636
1977,Connecticut,0.0705
1977,Delaware,0.0815
1977,Florida,0.0827
1977,Georgia,0.0693
1977,Hawaiʻi,0.0755
1977,Idaho,0.0589
1977,Illinois,0.062
1977,Indiana,0.0576
1977,Iowa,0.0405
1977,Kansas,0.039
1977,Kentucky,0.0487
1977,Louisiana,0.0693
1977,Maine,0.0838
1977,Maryland,0.0609
1977,Massachusetts,0.0785
1977,Michigan,0.0821
1977,Minnesota,0.0528
1977,Mississippi,0.0719
1977,Missouri,0.0603
1977,Montana,0.0619
1977,Nebraska,0.0338
1977,Nevada,0.0682
1977,New Hampshire,0.0554
1977,New Jersey,0.0936
1977,New Mexico,0.0769
1977,New York,0.0915
1977,North Carolina,0.0588
1977,North Dakota,0.0445
1977,Ohio,0.0646
1977,Oklahoma,0.0475
1977,Oregon,0.0742
1977,Pennsylvania,0.0774
1977,Rhode Island,0.0805
1977,South Carolina,0.0675
1977,South Dakota,0.0338
1977,Tennessee,0.0622
1977,Texas,0.0543
1977,Utah,0.0519
1977,Vermont,0.0698
1977,Virginia,0.0546
1977,Washington,0.0838
1977,West Virginia,0.0691
1977,Wisconsin,0.0508
1977,Wyoming,0.0332
1978,Alabama,0.0645
1978,Alaska,0.1061
1978,Arizona,0.0598
1978,Arkansas,0.0621
1978,California,0.0715
1978,Colorado,0.0554
1978,Connecticut,0.0531
1978,Delaware,0.0706
1978,Florida,0.0679
1978,Georgia,0.0573
1978,Hawaiʻi,0.0698
1978,Idaho,0.0548
1978,Illinois,0.0598
1978,Indiana,0.0557
1978,Iowa,0.0387
1978,Kansas,0.0304
1978,Kentucky,0.0508
1978,Louisiana,0.0681
1978,Maine,0.0642
1978,Maryland,0.0557
1978,Massachusetts,0.0616
1978,Michigan,0.0702
1978,Minnesota,0.0394
1978,Mississippi,0.0676
1978,Missouri,0.0488
1978,Montana,0.056
1978,Nebraska,0.0293
1978,Nevada,0.0443
1978,New Hampshire,0.0382
1978,New Jersey,0.0726
1978,New Mexico,0.0617
1978,New York,0.0771
1978,North Carolina,0.0456
1978,North Dakota,0.0417
1978,Ohio,0.0552
1978,Oklahoma,0.0332
1978,Oregon,0.0612
1978,Pennsylvania,0.0702
1978,Rhode Island,0.0633
