year,county,value
2013,Hawaiʻi,0.106
2013,Honolulu,0.054
2013,Kauaʻi,0.09
2013,Maui,0.089
2014,Hawaiʻi,0.057
2014,Honolulu,0.047
2014,Kauaʻi,0.058
2014,Maui,0.077
2015,Hawaiʻi,0.047
2015,Honolulu,0.036
2015,Kauaʻi,0.043
2015,Maui,0.051
2016,Hawaiʻi,0.034
2016,Honolulu,0.032
2016,Kauaʻi,0.045
2016,Maui,0.054
2017,Hawaiʻi,0.061
2017,Honolulu,0.033
2017,Kauaʻi,0.033
2017,Maui,0.046
2018,Hawaiʻi,0.059
2018,Honolulu,0.034
2018,Kauaʻi,0.065
2018,Maui,0.046
2019,Hawaiʻi,0.044
2019,Honolulu,0.036
2019,Kauaʻi,0.051
2019,Maui,0.063
2021,Hawaiʻi,0.043
2021,Honolulu,0.038
2021,Kauaʻi,0.046
2021,Maui,0.041
2022,Hawaiʻi,0.049
2022,Honolulu,0.033
2022,Kauaʻi,0.038
2022,Maui,0.03
2023,Hawaiʻi,0.035
2023,Honolulu,0.03
2023,Kauaʻi,0.026
2023,Maui,0.043
2024,Hawaiʻi,0.054
2024,Honolulu,0.027
2024,Kauaʻi,0.059
2024,Maui,0.04
