year,state,value
2010,Alabama,0.146
2010,Alaska,0.199
2010,Arizona,0.169
2010,Arkansas,0.175
2010,California,0.185
2010,Colorado,0.159
2010,Connecticut,0.091
2010,Delaware,0.097
2010,Florida,0.213
2010,Georgia,0.197
2010,Hawaiʻi,0.079
2010,Idaho,0.177
2010,Illinois,0.138
2010,Indiana,0.148
2010,Iowa,0.093
2010,Kansas,0.139
2010,Kentucky,0.153
2010,Louisiana,0.178
2010,Maine,0.101
2010,Maryland,0.113
2010,Massachusetts,0.044
2010,Michigan,0.124
2010,Minnesota,0.091
2010,Mississippi,0.182
2010,Missouri,0.132
2010,Montana,0.173
2010,Nebraska,0.115
2010,Nevada,0.226
2010,New Hampshire,0.111
2010,New Jersey,0.132
2010,New Mexico,0.196
2010,New York,0.119
2010,North Carolina,0.168
2010,North Dakota,0.098
2010,Ohio,0.123
2010,Oklahoma,0.189
2010,Oregon,0.171
2010,Pennsylvania,0.102
2010,Rhode Island,0.122
2010,South Carolina,0.175
2010,South Dakota,0.124
2010,Tennessee,0.144
2010,Texas,0.237
2010,Utah,0.153
2010,Vermont,0.08
2010,Virginia,0.131
2010,Washington,0.142
2010,West Virginia,0.146
2010,Wisconsin,0.094
2010,Wyoming,0.149
2011,Alabama,0.143
2011,Alaska,0.201
2011,Arizona,0.172
2011,Arkansas,0.171
2011,California,0.181
2011,Colorado,0.151
2011,Connecticut,0.088
2011,Delaware,0.094
2011,Florida,0.209
2011,Georgia,0.196
2011,Hawaiʻi,0.071
2011,Idaho,0.165
2011,Illinois,0.131
2011,Indiana,0.145
2011,Iowa,0.089
2011,Kansas,0.126
2011,Kentucky,0.144
2011,Louisiana,0.175
2011,Maine,0.107
2011,Maryland,0.104
2011,Massachusetts,0.043
2011,Michigan,0.118
2011,Minnesota,0.088
2011,Mississippi,0.177
2011,Missouri,0.137
2011,Montana,0.183
2011,Nebraska,0.114
2011,Nevada,0.219
2011,New Hampshire,0.105
2011,New Jersey,0.131
2011,New Mexico,0.198
2011,New York,0.114
