year,state,value
2007,Alabama,3.54
2007,Alaska,3.75
2007,Arizona,9.77
2007,Arkansas,5.44
2007,California,24.96
2007,Colorado,15.1
2007,Connecticut,2.3
2007,Delaware,2.37
2007,Florida,14.99
2007,Georgia,12.08
2007,Hawaiʻi,25.52
2007,Idaho,4.15
2007,Illinois,2.61
2007,Indiana,1.98
2007,Iowa,0.98
2007,Kansas,1.01
2007,Kentucky,4.98
2007,Louisiana,3.6
2007,Maine,0.47
2007,Maryland,5.68
2007,Massachusetts,2.2
2007,Michigan,16.74
2007,Minnesota,2.78
2007,Mississippi,1.8
2007,Missouri,1.89
2007,Montana,3.06
2007,Nebraska,2.94
2007,Nevada,14.7
2007,New Hampshire,7.43
2007,New Jersey,2.86
2007,New Mexico,6.37
2007,New York,2.78
2007,North Carolina,4.3
2007,North Dakota,0.9
2007,Ohio,1.64
2007,Oklahoma,3.11
2007,Oregon,24.88
2007,Pennsylvania,1.18
2007,Rhode Island,0.46
2007,South Carolina,5.79
2007,South Dakota,0.52
2007,Tennessee,7.71
2007,Texas,7.09
2007,Utah,1.2
2007,Vermont,5.05
2007,Virginia,2.81
2007,Washington,10.09
2007,West Virginia,1.43
2007,Wisconsin,1
2007,Wyoming,2.62
2008,Alabama,3.27
2008,Alaska,2.82
2008,Arizona,8.79
2008,Arkansas,4.3
2008,California,24.47
2008,Colorado,16.09
2008,Connecticut,1.71
2008,Delaware,0.8
2008,Florida,15.89
2008,Georgia,10.76
2008,Hawaiʻi,25.21
2008,Idaho,1.39
2008,Illinois,2.54
2008,Indiana,2.29
2008,Iowa,0.86
2008,Kansas,0.85
2008,Kentucky,4.53
2008,Louisiana,4.02
2008,Maine,0.33
2008,Maryland,5.57
2008,Massachusetts,1.65
2008,Michigan,16.55
2008,Minnesota,2.62
2008,Mississippi,2.56
2008,Missouri,3.51
2008,Montana,4.2
2008,Nebraska,4.22
2008,Nevada,14.56
2008,New Hampshire,3.68
2008,New Jersey,2.26
2008,New Mexico,6.3
2008,New York,2.4
2008,North Carolina,4.71
2008,North Dakota,0.29
2008,Ohio,2.2
2008,Oklahoma,2.84
2008,Oregon,28.41
2008,Pennsylvania,1.03
2008,Rhode Island,0.51
2008,South Carolina,5.68
2008,South Dakota,0.51
2008,Tennessee,6.47
2008,Texas,6.63
2008,Utah,0.96
2008,Vermont,4.13
2008,Virginia,2.01
2008,Washington,9.9
2008,West Virginia,3.23
2008,Wisconsin,0.91
2008,Wyoming,2.42
2009,Alabama,4.55
2009,Alaska,4.68
2009,Arizona,10.02
2009,Arkansas,3.87
2009,California,19.72
2009,Colorado,12.54
2009,Connecticut,1.41
2009,Delaware,0.53
2009,Florida,18.08
2009,Georgia,11.37
2009,Hawaiʻi,18.67
2009,Idaho,2.97
2009,Illinois,1.72
2009,Indiana,2.75
2009,Iowa,0.52
2009,Kansas,0.69
2009,Kentucky,1.62
2009,Louisiana,18.67
2009,Maine,0.29
2009,Maryland,7.42
2009,Massachusetts,1.54
2009,Michigan,2.73
2009,Minnesota,1.79
2009,Mississippi,5.33
2009,Missouri,2.5
2009,Montana,3.69
2009,Nebraska,3.53
2009,Nevada,12.28
2009,New Hampshire,1.82
2009,New Jersey,1.48
2009,New Mexico,6.71
2009,New York,1.87
2009,North Carolina,4.7
2009,North Dakota,0.12
2009,Ohio,1.54
2009,Oklahoma,4.12
2009,Oregon,25.91
2009,Pennsylvania,1.01
2009,Rhode Island,0.48
2009,South Carolina,3.13
2009,South Dakota,0.79
2009,Tennessee,5.39
2009,Texas,6.09
2009,Utah,0.94
2009,Vermont,2.51
2009,Virginia,1.98
2009,Washington,9.82
2009,West Virginia,2.11
2009,Wisconsin,1.87
2009,Wyoming,1.14
2010,Alabama,4.5
2010,Alaska,2.69
2010,Arizona,10.15
2010,Arkansas,3.54
2010,California,19.45
2010,Colorado,12.78
2010,Connecticut,1.39
2010,Delaware,0.58
2010,Florida,18.96
2010,Georgia,11.42
2010,Hawaiʻi,16.84
2010,Idaho,4.98
2010,Illinois,1.7
2010,Indiana,1.88
2010,Iowa,0.36
2010,Kansas,0.69
2010,Kentucky,2.35
2010,Louisiana,18.45
2010,Maine,0.21
2010,Maryland,7.48
2010,Massachusetts,1.6
2010,Michigan,2.87
2010,Minnesota,2.14
2010,Mississippi,5.26
2010,Missouri,2.98
2010,Montana,4.51
2010,Nebraska,2.85
2010,Nevada,12.42
2010,New Hampshire,1.8
2010,New Jersey,1.88
2010,New Mexico,6.62
2010,New York,2.13
2010,North Carolina,3.15
2010,North Dakota,0.46
2010,Ohio,1.59
2010,Oklahoma,5.09
2010,Oregon,31.95
2010,Pennsylvania,0.86
2010,Rhode Island,0.72
2010,South Carolina,3.1
2010,South Dakota,0.78
2010,Tennessee,5.16
2010,Texas,6.31
2010,Utah,2.02
2010,Vermont,2.27
2010,Virginia,2.04
2010,Washington,9.47
2010,West Virginia,3.99
2010,Wisconsin,1.9
2010,Wyoming,1.13
2011,Alabama,3.76
2011,Alaska,5.09
2011,Arizona,4.97
2011,Arkansas,5.52
2011,California,19.77
2011,Colorado,17.52
2011,Connecticut,1.93
2011,Delaware,0.24
2011,Florida,18.84
2011,Georgia,12.49
2011,Hawaiʻi,18.45
2011,Idaho,3.87
2011,Illinois,2.26
2011,Indiana,0.99
2011,Iowa,0.39
2011,Kansas,1.01
2011,Kentucky,1.95
2011,Louisiana,12.86
2011,Maine,0.22
2011,Maryland,6.34
2011,Massachusetts,1.06
2011,Michigan,2.35
2011,Minnesota,1.73
2011,Mississippi,4.2
2011,Missouri,3.78
2011,Montana,5.53
2011,Nebraska,2.75
2011,Nevada,16.99
2011,New Hampshire,2.35
2011,New Jersey,1.47
2011,New Mexico,4.07
2011,New York,1.87
2011,North Carolina,3.79
2011,North Dakota,0.63
2011,Ohio,1.56
2011,Oklahoma,4.32
2011,Oregon,26.45
2011,Pennsylvania,0.83
2011,Rhode Island,0.29
2011,South Carolina,4.59
2011,South Dakota,0.78
2011,Tennessee,4.99
2011,Texas,7
2011,Utah,1.57
2011,Vermont,1.95
2011,Virginia,1.76
2011,Washington,7.85
2011,West Virginia,4.34
2011,Wisconsin,0.75
2011,Wyoming,14.87
2012,Alabama,3.19
2012,Alaska,2.69
2012,Arizona,4.75
2012,Arkansas,8.86
2012,California,19.54
2012,Colorado,18.33
2012,Connecticut,1.93
2012,Delaware,0.24
2012,Florida,18.34
2012,Georgia,12.31
2012,Hawaiʻi,17.93
2012,Idaho,3.04
2012,Illinois,2.32
2012,Indiana,1.36
2012,Iowa,0.48
2012,Kansas,1.16
2012,Kentucky,2.07
2012,Louisiana,8.61
2012,Maine,0.25
2012,Maryland,5.94
2012,Massachusetts,1.08
2012,Michigan,2.34
2012,Minnesota,1.84
2012,Mississippi,4.6
2012,Missouri,3.89
2012,Montana,6.76
2012,Nebraska,4.48
2012,Nevada,16.53
2012,New Hampshire,1.26
2012,New Jersey,1.79
2012,New Mexico,4.06
2012,New York,2.07
2012,North Carolina,4.85
2012,North Dakota,0.75
2012,Ohio,1.5
2012,Oklahoma,5.21
2012,Oregon,23.8
2012,Pennsylvania,0.84
2012,Rhode Island,0.26
2012,South Carolina,4.55
2012,South Dakota,0.77
2012,Tennessee,5.64
2012,Texas,6.35
2012,Utah,1.66
2012,Vermont,3.54
2012,Virginia,1.74
2012,Washington,7.93
2012,West Virginia,4.72
2012,Wisconsin,1.01
2012,Wyoming,23.25
2013,Alabama,2.97
2013,Alaska,2.78
2013,Arizona,4.78
2013,Arkansas,7.27
2013,California,19.06
2013,Colorado,4.11
2013,Connecticut,2.55
2013,Delaware,0.11
2013,Florida,14.46
2013,Georgia,8.48
2013,Hawaiʻi,18.2
2013,Idaho,2.33
2013,Illinois,1.69
2013,Indiana,1.06
2013,Iowa,0.43
2013,Kansas,1.07
2013,Kentucky,1.71
2013,Louisiana,3.4
2013,Maine,0.47
2013,Maryland,3.22
2013,Massachusetts,1.26
2013,Michigan,2.2
2013,Minnesota,1.68
2013,Mississippi,4.42
2013,Missouri,3.44
2013,Montana,7.72
2013,Nebraska,0.92
2013,Nevada,12.06
2013,New Hampshire,1.52
2013,New Jersey,1.56
2013,New Mexico,2.04
2013,New York,2.09
2013,North Carolina,3.22
2013,North Dakota,19.17
2013,Ohio,1.15
2013,Oklahoma,2.98
2013,Oregon,18.83
2013,Pennsylvania,1.06
2013,Rhode Island,1.1
2013,South Carolina,6.61
2013,South Dakota,4.03
2013,Tennessee,4.93
2013,Texas,4.57
2013,Utah,1.44
2013,Vermont,2.91
2013,Virginia,1.24
2013,Washington,7.24
2013,West Virginia,3.38
2013,Wisconsin,0.64
2013,Wyoming,7.78
2014,Alabama,2.13
2014,Alaska,1.97
2014,Arizona,3.87
2014,Arkansas,4.84
2014,California,18.49
2014,Colorado,3.64
2014,Connecticut,2.54
2014,Delaware,0.4
2014,Florida,10.96
2014,Georgia,8.24
2014,Hawaiʻi,21.65
2014,Idaho,3.88
2014,Illinois,1.31
2014,Indiana,0.61
2014,Iowa,0.63
2014,Kansas,0.86
2014,Kentucky,1.88
2014,Louisiana,2.37
2014,Maine,0.7
2014,Maryland,2.64
2014,Massachusetts,1.11
2014,Michigan,2.16
2014,Minnesota,1.45
2014,Mississippi,2.75
