year,state,value
1980,Alabama,0.492
1980,Alaska,0.602
1980,Arizona,0.4752
1980,Arkansas,0.5203
1980,California,0.562
1980,Colorado,0.5914
1980,Connecticut,0.6468
1980,Delaware,0.5676
1980,Florida,0.5203
1980,Georgia,0.4212
1980,Hawaiʻi,0.4916
1980,Idaho,0.7041
1980,Illinois,0.6189
1980,Indiana,0.5914
1980,Iowa,0.6346
1980,Kansas,0.5747
1980,Kentucky,0.5055
1980,Louisiana,0.5396
1980,Maine,0.654
1980,Maryland,0.5257
1980,Massachusetts,0.6245
1980,Michigan,0.624
1980,Minnesota,0.7211
1980,Mississippi,0.5237
1980,Missouri,0.5949
1980,Montana,0.6708
1980,Nebraska,0.5842
1980,Nevada,0.5189
1980,New Hampshire,0.6093
1980,New Jersey,0.5853
1980,New Mexico,0.532
1980,New York,0.5294
1980,North Carolina,0.4417
1980,North Dakota,0.6802
1980,Ohio,0.5736
1980,Oklahoma,0.542
1980,Oregon,0.6434
1980,Pennsylvania,0.5266
1980,Rhode Island,0.6269
1980,South Carolina,0.4235
1980,South Dakota,0.6766
1980,Tennessee,0.4922
1980,Texas,0.4745
1980,Utah,0.6662
1980,Vermont,0.5933
1980,Virginia,0.4873
1980,Washington,0.6064
1980,West Virginia,0.5352
1980,Wisconsin,0.6845
1980,Wyoming,0.5541
1982,Alabama,0.406
1982,Alaska,0.6487
1982,Arizona,0.3683
1982,Arkansas,0.4814
1982,California,0.499
1982,Colorado,0.4723
1982,Connecticut,0.4939
1982,Delaware,0.455
1982,Florida,0.3554
1982,Georgia,0.2963
1982,Hawaiʻi,0.4848
1982,Idaho,0.5107
1982,Illinois,0.4879
1982,Indiana,0.473
1982,Iowa,0.508
1982,Kansas,0.4394
1982,Kentucky,0.2678
1982,Maine,0.5626
1982,Maryland,0.392
1982,Massachusetts,0.503
1982,Michigan,0.493
1982,Minnesota,0.6231
1982,Mississippi,0.3699
1982,Missouri,0.4324
1982,Montana,0.5759
1982,Nebraska,0.4954
1982,Nevada,0.3908
1982,New Hampshire,0.4213
1982,New Jersey,0.4377
1982,New Mexico,0.4545
1982,New York,0.4488
1982,North Carolina,0.304
1982,North Dakota,0.5724
1982,Ohio,0.4619
1982,Oklahoma,0.3915
1982,Oregon,0.5613
1982,Pennsylvania,0.4209
1982,Rhode Island,0.5414
1982,South Carolina,0.3045
1982,South Dakota,0.569
1982,Tennessee,0.3753
1982,Texas,0.3121
1982,Utah,0.5582
1982,Vermont,0.4613
1982,Virginia,0.3576
1982,Washington,0.4681
1982,West Virginia,0.4038
1982,Wisconsin,0.4683
1982,Wyoming,0.4997
1984,Alabama,0.5091
1984,Alaska,0.6213
1984,Arizona,0.4888
1984,Arkansas,0.5299
1984,California,0.5896
1984,Colorado,0.5925
1984,Connecticut,0.6478
1984,Delaware,0.5838
1984,Florida,0.5241
1984,Georgia,0.4311
1984,Hawaiʻi,0.5032
1984,Idaho,0.6364
1984,Illinois,0.6276
1984,Indiana,0.5793
1984,Iowa,0.6511
1984,Kansas,0.5833
1984,Kentucky,0.5181
1984,Louisiana,0.5655
1984,Maine,0.6584
1984,Maryland,0.5446
1984,Massachusetts,0.6076
1984,Michigan,0.6065
1984,Minnesota,0.7097
1984,Mississippi,0.533
1984,Missouri,0.5869
1984,Montana,0.6821
1984,Nebraska,0.5912
1984,Nevada,0.448
1984,New Hampshire,0.5657
1984,New Jersey,0.6047
1984,New Mexico,0.546
1984,New York,0.5723
1984,North Carolina,0.4823
1984,North Dakota,0.6717
1984,Ohio,0.6032
1984,Oklahoma,0.555
1984,Oregon,0.6637
1984,Pennsylvania,0.5512
1984,Rhode Island,0.6061
1984,South Carolina,0.4372
1984,South Dakota,0.6429
1984,Tennessee,0.501
1984,Texas,0.5098
1984,Utah,0.6428
1984,Vermont,0.6165
1984,Virginia,0.5237
1984,Washington,0.6287
1984,West Virginia,0.5285
1984,Wisconsin,0.6486
1984,Wyoming,0.5793
1986,Alabama,0.4309
1986,Alaska,0.5189
1986,Arizona,0.3838
1986,Arkansas,0.4137
1986,California,0.444
1986,Colorado,0.4748
1986,Connecticut,0.4374
1986,Delaware,0.3635
1986,Florida,0.4091
1986,Georgia,0.2848
1986,Hawaiʻi,0.4816
1986,Idaho,0.5927
1986,Illinois,0.4198
1986,Indiana,0.4105
1986,Iowa,0.4565
1986,Kansas,0.4786
1986,Kentucky,0.2544
1986,Louisiana,0.4544
1986,Maine,0.4973
1986,Maryland,0.361
1986,Massachusetts,0.4106
1986,Michigan,0.3785
1986,Minnesota,0.4818
1986,Mississippi,0.2938
1986,Missouri,0.4041
1986,Montana,0.5708
1986,Nebraska,0.5146
1986,Nevada,0.3775
1986,New Hampshire,0.3386
1986,New Jersey,0.3038
1986,New Mexico,0.4137
1986,New York,0.3653
1986,North Carolina,0.3421
1986,North Dakota,0.6227
1986,Ohio,0.4663
1986,Oklahoma,0.4081
1986,Oregon,0.5639
1986,Pennsylvania,0.384
1986,Rhode Island,0.4539
1986,South Carolina,0.3191
1986,South Dakota,0.6009
1986,Tennessee,0.348
1986,Texas,0.3191
1986,Utah,0.435
1986,Vermont,0.5433
1986,Virginia,0.291
1986,Washington,0.4309
1986,West Virginia,0.3277
1986,Wisconsin,0.445
1986,Wyoming,0.5126
1988,Alabama,0.475
1988,Alaska,0.5729
1988,Arizona,0.4909
1988,Arkansas,0.4899
1988,California,0.5745
1988,Colorado,0.6086
1988,Connecticut,0.6143
1988,Delaware,0.5399
1988,Florida,0.4901
1988,Georgia,0.4056
1988,Hawaiʻi,0.4979
1988,Idaho,0.6312
1988,Illinois,0.5907
1988,Indiana,0.556
1988,Iowa,0.6136
1988,Kansas,0.5598
1988,Kentucky,0.4936
1988,Louisiana,0.5538
1988,Maine,0.6248
1988,Maryland,0.5256
